Value,Disaggregation combinations using this value,Number of indicators
%,199,3
"Incidence of TB per 100,000 population",1,1
Malria incidence per 1000 population,1,1
"Number deaths per 100,000 live births",1,1
Percentage of households (%),11,1
Percentage of private households (%),88,2
Percentage (%),8,1
percentage,54,1
Total count,8,1
total count,83,3
Total number diabetic lower limb amputations,1,1
Total number of households,11,1
Total number of private households,11,1
Total number technologies convey early warnings,77,1
