Value,Disaggregation combinations using this value,Number of indicators
%,2,1
Average annual household income tourism (vatu),3,1
Billion Vatu,2,1
Change in number of arrivals,3,1
percent,2,1
Percentage households with 5 basic skills,11,1
Percentage individuals that live in households with all 5 basic production skills,11,1
Percentage of private households (%),11,1
Percentage,4,1
percentage,2,1
Total Count,4,1
Total number of arrivals,3,1
Total number of private households,11,1
Total value in millions of vatu,16,1
VT (millions of vatu),2,1
