Year,Sector,Industry,Value
2005,,,5.3
2005,"Agriculture, Fishing and Forestry",,2.3
2005,Industry,,5.3
2005,Services,,6.6
2005,Plus Taxes less Subsidies on Products,,9.2
2005,Less imputed Bank Service Charge,,20.5
2005,,Crop Production,-2.3
2005,,Animal Production,12.2
2005,,Forestry,66.1
2005,,Fishing,1.9
2005,,Mining and Quarrying,
2005,,Manufacturing,-2.0
2005,,Electricity and Water Supply,4.1
2005,,Construction,18.6
2005,,"Wholesale, Retail Trade, repair of Motor vehicles",0.2
2005,,Other Wholesale Trade,9.5
2005,,Retail Trade,-5.4
2005,,Transport,22.3
2005,,Accommodation and Food Services,-3.2
2005,,Information and Communication,9.8
2005,,Finance and Insurance,20.8
2005,,Real Estate,7.7
2005,,"Professional, Scientifc, Technical, Admin/Services",5.8
2005,,Government Services,1.3
2005,,"Education, Health, Recreation, and Other Services",10.0
2006,,,8.5
2006,"Agriculture, Fishing and Forestry",,1.5
2006,Industry,,25.0
2006,Services,,9.1
2006,Plus Taxes less Subsidies on Products,,8.9
2006,Less imputed Bank Service Charge,,9.1
2006,,Crop Production,3.5
2006,,Animal Production,6.2
2006,,Forestry,-27.3
2006,,Fishing,3.2
2006,,Mining and Quarrying,0.0
2006,,Manufacturing,34.6
2006,,Electricity and Water Supply,2.8
2006,,Construction,31.5
2006,,"Wholesale, Retail Trade, repair of Motor vehicles",4.0
2006,,Other Wholesale Trade,9.2
2006,,Retail Trade,37.8
2006,,Transport,-0.4
2006,,Accommodation and Food Services,3.6
2006,,Information and Communication,2.9
2006,,Finance and Insurance,7.1
2006,,Real Estate,2.4
2006,,"Professional, Scientifc, Technical, Admin/Services",5.8
2006,,Government Services,0.9
2006,,"Education, Health, Recreation, and Other Services",39.9
2007,,,2.9
2007,"Agriculture, Fishing and Forestry",,3.5
2007,Industry,,-10.1
2007,Services,,0.8
2007,Plus Taxes less Subsidies on Products,,23.1
2007,Less imputed Bank Service Charge,,6.3
2007,,Crop Production,3.1
2007,,Animal Production,5.2
2007,,Forestry,6.4
2007,,Fishing,3.4
2007,,Mining and Quarrying,0.0
2007,,Manufacturing,-37.8
2007,,Electricity and Water Supply,6.6
2007,,Construction,7.1
2007,,"Wholesale, Retail Trade, repair of Motor vehicles",-0.1
2007,,Other Wholesale Trade,-1.9
2007,,Retail Trade,4.1
2007,,Transport,-24.7
2007,,Accommodation and Food Services,10.5
2007,,Information and Communication,22.2
2007,,Finance and Insurance,-2.0
2007,,Real Estate,2.5
2007,,"Professional, Scientifc, Technical, Admin/Services",5.9
2007,,Government Services,4.8
2007,,"Education, Health, Recreation, and Other Services",-10.5
2008,,,5.6
2008,"Agriculture, Fishing and Forestry",,-0.9
2008,Industry,,27.5
2008,Services,,4.7
2008,Plus Taxes less Subsidies on Products,,9.0
2008,Less imputed Bank Service Charge,,8.4
2008,,Crop Production,2.1
2008,,Animal Production,-28.8
2008,,Forestry,6.5
2008,,Fishing,3.5
2008,,Mining and Quarrying,-82.4
2008,,Manufacturing,-4.3
2008,,Electricity and Water Supply,14.1
2008,,Construction,73.5
2008,,"Wholesale, Retail Trade, repair of Motor vehicles",5.4
2008,,Other Wholesale Trade,-15.8
2008,,Retail Trade,7.2
2008,,Transport,-34.6
2008,,Accommodation and Food Services,10.6
2008,,Information and Communication,22.7
2008,,Finance and Insurance,16.9
2008,,Real Estate,3.7
2008,,"Professional, Scientifc, Technical, Admin/Services",19.9
2008,,Government Services,4.4
2008,,"Education, Health, Recreation, and Other Services",5.0
2009,,,3.0
2009,"Agriculture, Fishing and Forestry",,-4.8
2009,Industry,,27.6
2009,Services,,4.5
2009,Plus Taxes less Subsidies on Products,,-6.5
2009,Less imputed Bank Service Charge,,5.0
2009,,Crop Production,-3.5
2009,,Animal Production,-30.2
2009,,Forestry,6.6
2009,,Fishing,0.3
2009,,Mining and Quarrying,1.4
2009,,Manufacturing,14.1
2009,,Electricity and Water Supply,1.9
2009,,Construction,46.2
2009,,"Wholesale, Retail Trade, repair of Motor vehicles",4.8
2009,,Other Wholesale Trade,-1.8
2009,,Retail Trade,5.4
2009,,Transport,71.3
2009,,Accommodation and Food Services,16.4
2009,,Information and Communication,14.9
2009,,Finance and Insurance,-23.4
2009,,Real Estate,1.8
2009,,"Professional, Scientifc, Technical, Admin/Services",15.2
2009,,Government Services,5.0
2009,,"Education, Health, Recreation, and Other Services",-15.2
2010,,,1.3
2010,"Agriculture, Fishing and Forestry",,4.6
2010,Industry,,12.2
2010,Services,,2.7
2010,Plus Taxes less Subsidies on Products,,-17.2
2010,Less imputed Bank Service Charge,,5.9
2010,,Crop Production,0.8
2010,,Animal Production,61.5
2010,,Forestry,6.8
2010,,Fishing,0.5
2010,,Mining and Quarrying,-28.1
2010,,Manufacturing,84.3
2010,,Electricity and Water Supply,7.3
2010,,Construction,-11.2
2010,,"Wholesale, Retail Trade, repair of Motor vehicles",3.5
2010,,Other Wholesale Trade,4.1
2010,,Retail Trade,9.6
2010,,Transport,27.5
2010,,Accommodation and Food Services,1.8
2010,,Information and Communication,-12.4
2010,,Finance and Insurance,-1.9
2010,,Real Estate,5.9
2010,,"Professional, Scientifc, Technical, Admin/Services",-5.0
2010,,Government Services,-1.4
2010,,"Education, Health, Recreation, and Other Services",-9.8
2011,,,3.1
2011,"Agriculture, Fishing and Forestry",,3.2
2011,Industry,,-19.1
2011,Services,,7.2
2011,Plus Taxes less Subsidies on Products,,8.3
2011,Less imputed Bank Service Charge,,14.3
2011,,Crop Production,3.5
2011,,Animal Production,-1.3
2011,,Forestry,6.8
2011,,Fishing,0.6
2011,,Mining and Quarrying,-18.0
2011,,Manufacturing,-7.6
2011,,Electricity and Water Supply,2.6
2011,,Construction,-36.2
2011,,"Wholesale, Retail Trade, repair of Motor vehicles",5.8
2011,,Other Wholesale Trade,6.6
2011,,Retail Trade,4.7
2011,,Transport,3.6
2011,,Accommodation and Food Services,-1.0
2011,,Information and Communication,27.7
2011,,Finance and Insurance,9.1
2011,,Real Estate,3.1
2011,,"Professional, Scientifc, Technical, Admin/Services",4.7
2011,,Government Services,8.5
2011,,"Education, Health, Recreation, and Other Services",13.6
2012,,,1.0
2012,"Agriculture, Fishing and Forestry",,-1.9
2012,Industry,,-22.2
2012,Services,,4.4
2012,Plus Taxes less Subsidies on Products,,-5.4
2012,Less imputed Bank Service Charge,,-20.2
2012,,Crop Production,-2.9
2012,,Animal Production,-0.8
2012,,Forestry,7.0
2012,,Fishing,0.8
2012,,Mining and Quarrying,46.2
2012,,Manufacturing,-13.8
2012,,Electricity and Water Supply,-2.4
2012,,Construction,-44.3
2012,,"Wholesale, Retail Trade, repair of Motor vehicles",-7.5
