Year,Units,Series,Value
2006,Percent,Gross Fixed Capital Formation Growth,34.0
2007,Percent,Gross Fixed Capital Formation Growth,21.7
2008,Percent,Gross Fixed Capital Formation Growth,35.9
2009,Percent,Gross Fixed Capital Formation Growth,-0.6
2010,Percent,Gross Fixed Capital Formation Growth,-4.6
2011,Percent,Gross Fixed Capital Formation Growth,-15.3
2012,Percent,Gross Fixed Capital Formation Growth,-17.0
2013,Percent,Gross Fixed Capital Formation Growth,17.0
2014,Percent,Gross Fixed Capital Formation Growth,9.8
2015,Percent,Gross Fixed Capital Formation Growth,41.0
2016,Percent,Gross Fixed Capital Formation Growth,-23.9
2017,Percent,Gross Fixed Capital Formation Growth,19.2
