Year,Units,Series,Value
2010,Percent,Kindergarten Attended Rate,71
2011,Percent,Kindergarten Attended Rate,76
2012,Percent,Kindergarten Attended Rate,60
2013,Percent,Kindergarten Attended Rate,66
2014,Percent,Kindergarten Attended Rate,66
2015,Percent,Kindergarten Attended Rate,42
2010,Percent,Educational Survival Yrs 1-6,75
2011,Percent,Educational Survival Yrs 1-6,70
2012,Percent,Educational Survival Yrs 1-6,84
2013,Percent,Educational Survival Yrs 1-6,71
2014,Percent,Educational Survival Yrs 1-6,81
2015,Percent,Educational Survival Yrs 1-6,79
2016,Percent,Educational Survival Yrs 1-6,58
2017,Percent,Educational Survival Yrs 1-6,68
2018,Percent,Educational Survival Yrs 1-6,99
2010,Percent,Educational Survival Yrs 1-13,10
2011,Percent,Educational Survival Yrs 1-13,7
2012,Percent,Educational Survival Yrs 1-13,12
2013,Percent,Educational Survival Yrs 1-13,10
2014,Percent,Educational Survival Yrs 1-13,22
2015,Percent,Educational Survival Yrs 1-13,20
2016,Percent,Educational Survival Yrs 1-13,21
2017,Percent,Educational Survival Yrs 1-13,23
2018,Percent,Educational Survival Yrs 1-13,23
