Year,Series,Age group,Employment status,Number of children,Residence,Education,Indicator,Unit of measurement,Value
2013,Age,15-19,,,,,Own health care,%,73.2
2013,Age,20-24,,,,,Own health care,%,77.0
2013,Age,25-29,,,,,Own health care,%,73.3
2013,Age,30-34,,,,,Own health care,%,77.5
2013,Age,35-39,,,,,Own health care,%,72.9
2013,Age,40-44,,,,,Own health care,%,79.3
2013,Age,45-49,,,,,Own health care,%,75.2
2013,Age,15-19,,,,,Making major household purchases,%,64.4
2013,Age,20-24,,,,,Making major household purchases,%,74.0
2013,Age,25-29,,,,,Making major household purchases,%,70.7
2013,Age,30-34,,,,,Making major household purchases,%,74.9
2013,Age,35-39,,,,,Making major household purchases,%,70.1
2013,Age,40-44,,,,,Making major household purchases,%,75.8
2013,Age,45-49,,,,,Making major household purchases,%,69.7
2013,Age,15-19,,,,,Making purchases for daily household needs,%,69.1
2013,Age,20-24,,,,,Making purchases for daily household needs,%,77.1
2013,Age,25-29,,,,,Making purchases for daily household needs,%,73.0
2013,Age,30-34,,,,,Making purchases for daily household needs,%,79.1
2013,Age,35-39,,,,,Making purchases for daily household needs,%,74.4
2013,Age,40-44,,,,,Making purchases for daily household needs,%,80.3
2013,Age,45-49,,,,,Making purchases for daily household needs,%,72.0
2013,Age,15-19,,,,,Visits to her family or relatives,%,76.4
2013,Age,20-24,,,,,Visits to her family or relatives,%,77.3
2013,Age,25-29,,,,,Visits to her family or relatives,%,74.7
2013,Age,30-34,,,,,Visits to her family or relatives,%,80.3
2013,Age,35-39,,,,,Visits to her family or relatives,%,74.9
2013,Age,40-44,,,,,Visits to her family or relatives,%,78.6
2013,Age,45-49,,,,,Visits to her family or relatives,%,75.0
2013,Age,15-19,,,,,Participate in all four decisions,%,61.1
2013,Age,20-24,,,,,Participate in all four decisions,%,67.6
2013,Age,25-29,,,,,Participate in all four decisions,%,64.9
2013,Age,30-34,,,,,Participate in all four decisions,%,69.0
2013,Age,35-39,,,,,Participate in all four decisions,%,64.4
2013,Age,40-44,,,,,Participate in all four decisions,%,68.2
2013,Age,45-49,,,,,Participate in all four decisions,%,65.5
2013,Age,15-19,,,,,participate in none of the four decisions,%,61.1
2013,Age,20-24,,,,,participate in none of the four decisions,%,67.6
2013,Age,25-29,,,,,participate in none of the four decisions,%,64.9
2013,Age,30-34,,,,,participate in none of the four decisions,%,69.0
2013,Age,35-39,,,,,participate in none of the four decisions,%,64.4
2013,Age,40-44,,,,,participate in none of the four decisions,%,68.2
2013,Age,45-49,,,,,participate in none of the four decisions,%,65.5
2013,Age,15-19,,,,,number of women,total count,58.0
