Year,Series,Ministry,Department,Unit,Value
2004,Original Budget,,,Millions in Vatu (VUV),476
2005,Original Budget,,,Millions in Vatu (VUV),454
2006,Original Budget,,,Millions in Vatu (VUV),843
2007,Original Budget,,,Millions in Vatu (VUV),605
2008,Original Budget,,,Millions in Vatu (VUV),1215
2009,Original Budget,,,Millions in Vatu (VUV),2529
2010,Original Budget,,,Millions in Vatu (VUV),2791
2011,Original Budget,,,Millions in Vatu (VUV),2724
2012,Original Budget,,,Millions in Vatu (VUV),2005
2013,Original Budget,,,Millions in Vatu (VUV),1785
2014,Original Budget,,,Millions in Vatu (VUV),2800
2015,Original Budget,,,Millions in Vatu (VUV),16372
2016,Original Budget,,,Millions in Vatu (VUV),8320
2017,Original Budget,,,Millions in Vatu (VUV),11239
2018,Original Budget,,,Millions in Vatu (VUV),8500
2019,Original Budget,,,Millions in Vatu (VUV),11377
2020,Original Budget,,,Millions in Vatu (VUV),6796
2021,Original Budget,,,Millions in Vatu (VUV),10474
2022,Original Budget,,,Millions in Vatu (VUV),7677
2023,Original Budget,,,Millions in Vatu (VUV),9534
2024,Original Budget,,,Millions in Vatu (VUV),7442
2004,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),3
2004,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),64
2004,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),25
2004,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),92
2004,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),80
2004,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),30
2004,Original Budget,Ministry of Health,,Millions in Vatu (VUV),45
2004,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),23
2004,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),53
2004,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),15
2004,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),29
2004,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),6
2004,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),11
2005,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),12
2005,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),42
2005,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),45
2005,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),56
2005,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),112
2005,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),6
2005,Original Budget,Ministry of Health,,Millions in Vatu (VUV),70
2005,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),4
2005,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),87
2005,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),10
2005,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),2
2005,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),5
2005,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),4
2005,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),1
2006,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),17
2006,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),66
2006,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),51
2006,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),157
2006,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),253
2006,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),6
2006,Original Budget,Ministry of Health,,Millions in Vatu (VUV),86
2006,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),15
2006,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),80
2006,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),74
2006,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),24
2006,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),3
2006,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),1
2006,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),13
2007,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),36
2007,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),16
2007,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),48
2007,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),67
2007,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),125
2007,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),9
2007,Original Budget,Ministry of Health,,Millions in Vatu (VUV),101
2007,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),84
2007,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),59
2007,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),60
2007,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),0
2008,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),17
2008,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),44
2008,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),33
2008,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),378
2008,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),196
2008,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),64
2008,Original Budget,Ministry of Health,,Millions in Vatu (VUV),218
2008,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),60
2008,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),70
2008,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),7
2008,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),15
2008,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),1
2008,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),111
2009,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),9
2009,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),73
2009,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),57
2009,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),360
2009,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),1075
2009,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),23
2009,Original Budget,Ministry of Health,,Millions in Vatu (VUV),219
2009,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),547
2009,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),33
2009,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),48
2009,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),59
2009,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),1
2009,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),4
2009,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),20
2010,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),23
2010,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),5
2010,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),274
2010,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),617
2010,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),788
2010,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),11
2010,Original Budget,Ministry of Health,,Millions in Vatu (VUV),277
2010,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),576
2010,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),68
2010,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),50
2010,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),53
2010,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),42
2010,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),6
2011,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),26
2011,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),31
2011,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),42
2011,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),529
2011,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),402
2011,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),1
2011,Original Budget,Ministry of Health,,Millions in Vatu (VUV),478
2011,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),996
2011,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),122
2011,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),31
2011,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),19
2011,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),12
2011,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),21
2011,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),14
2012,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),24
2012,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),29
2012,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),58
2012,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),627
2012,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),190
2012,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),53
2012,Original Budget,Ministry of Health,,Millions in Vatu (VUV),238
2012,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),489
2012,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),172
2012,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),27
2012,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),38
2012,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),32
2012,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),7
2012,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),21
2013,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),28
2013,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),39
2013,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),253
2013,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),319
2013,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),34
2013,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),15
2013,Original Budget,Ministry of Health,,Millions in Vatu (VUV),557
2013,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),15
2013,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),159
2013,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),23
2013,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),29
2013,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),1
2013,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),37
2013,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),277
2014,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),4
2014,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),51
2014,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),465
2014,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),271
2014,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),117
2014,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),17
2014,Original Budget,Ministry of Health,,Millions in Vatu (VUV),274
2014,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),698
2014,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),7
2014,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),33
2014,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),29
2014,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),76
2014,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),9
2014,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),748
2015,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),9
2015,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),89
2015,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),583
2015,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),481
2015,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),4199
2015,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),15
2015,Original Budget,Ministry of Health,,Millions in Vatu (VUV),201
2015,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),6833
2015,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),51
2015,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),83
2015,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),17
2015,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),167
2015,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),16
2015,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),3628
2016,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),44
2016,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),187
2016,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),591
2016,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),495
2016,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),-1715
2016,Original Budget,Ministry of Health,,Millions in Vatu (VUV),802
2016,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),2019
2016,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),31
2016,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),82
2016,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),234
2016,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),195
2016,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),8
2016,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),5347
2017,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),26
2017,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),69
2017,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),621
2017,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),820
2017,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),20
2017,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),3
2017,Original Budget,Ministry of Health,,Millions in Vatu (VUV),300
2017,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),2301
2017,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),7
2017,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),262
2017,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),37
