Year,Series,Region,Age,Sex,Value
2009,Female population ever given birth,,,,49834
2009,Female population ever given birth,,15 - 19,,944
2009,Female population ever given birth,,20 - 24,,5861
2009,Female population ever given birth,,25 - 29,,7378
2009,Female population ever given birth,,30 - 34,,7092
2009,Female population ever given birth,,35 - 39,,6545
2009,Female population ever given birth,,40 - 44,,5314
2009,Female population ever given birth,,45 - 49,,4808
2009,Female population ever given birth,,50 - 54,,3330
2009,Female population ever given birth,,55 - 59,,2860
2009,Female population ever given birth,,60 - 64,,1903
2009,Female population ever given birth,,65 - 69,,1576
2009,Female population ever given birth,,70+,,2223
2009,Female population ever given birth,Port Vila,,,9034
2009,Female population ever given birth,Port Vila,15 - 19,,155
2009,Female population ever given birth,Port Vila,20 - 24,,1167
2009,Female population ever given birth,Port Vila,25 - 29,,1405
2009,Female population ever given birth,Port Vila,30 - 34,,1503
2009,Female population ever given birth,Port Vila,35 - 39,,1257
2009,Female population ever given birth,Port Vila,40 - 44,,1055
2009,Female population ever given birth,Port Vila,45 - 49,,942
2009,Female population ever given birth,Port Vila,50 - 54,,590
2009,Female population ever given birth,Port Vila,55 - 59,,439
2009,Female population ever given birth,Port Vila,60 - 64,,213
2009,Female population ever given birth,Port Vila,65 - 69,,158
2009,Female population ever given birth,Port Vila,70+,,150
2009,Female population ever given birth,Luganville,,,2703
2009,Female population ever given birth,Luganville,15 - 19,,39
2009,Female population ever given birth,Luganville,20 - 24,,301
2009,Female population ever given birth,Luganville,25 - 29,,430
2009,Female population ever given birth,Luganville,30 - 34,,404
2009,Female population ever given birth,Luganville,35 - 39,,409
2009,Female population ever given birth,Luganville,40 - 44,,330
2009,Female population ever given birth,Luganville,45 - 49,,271
2009,Female population ever given birth,Luganville,50 - 54,,183
2009,Female population ever given birth,Luganville,55 - 59,,138
2009,Female population ever given birth,Luganville,60 - 64,,86
2009,Female population ever given birth,Luganville,65 - 69,,44
2009,Female population ever given birth,Luganville,70+,,68
2009,Female population ever given birth,Torba,,,2075
2009,Female population ever given birth,Torba,15 - 19,,62
2009,Female population ever given birth,Torba,20 - 24,,300
2009,Female population ever given birth,Torba,25 - 29,,309
2009,Female population ever given birth,Torba,30 - 34,,261
2009,Female population ever given birth,Torba,35 - 39,,276
2009,Female population ever given birth,Torba,40 - 44,,204
2009,Female population ever given birth,Torba,45 - 49,,184
2009,Female population ever given birth,Torba,50 - 54,,117
2009,Female population ever given birth,Torba,55 - 59,,109
2009,Female population ever given birth,Torba,60 - 64,,82
2009,Female population ever given birth,Torba,65 - 69,,63
2009,Female population ever given birth,Torba,70+,,108
2009,Female population ever given birth,Sanma,,,6685
2009,Female population ever given birth,Sanma,15 - 19,,210
2009,Female population ever given birth,Sanma,20 - 24,,912
2009,Female population ever given birth,Sanma,25 - 29,,1095
2009,Female population ever given birth,Sanma,30 - 34,,1014
2009,Female population ever given birth,Sanma,35 - 39,,818
2009,Female population ever given birth,Sanma,40 - 44,,643
2009,Female population ever given birth,Sanma,45 - 49,,604
2009,Female population ever given birth,Sanma,50 - 54,,385
2009,Female population ever given birth,Sanma,55 - 59,,332
2009,Female population ever given birth,Sanma,60 - 64,,254
2009,Female population ever given birth,Sanma,65 - 69,,213
2009,Female population ever given birth,Sanma,70+,,205
2009,Female population ever given birth,Penama,,,6640
2009,Female population ever given birth,Penama,15 - 19,,108
2009,Female population ever given birth,Penama,20 - 24,,651
2009,Female population ever given birth,Penama,25 - 29,,927
2009,Female population ever given birth,Penama,30 - 34,,840
2009,Female population ever given birth,Penama,35 - 39,,841
2009,Female population ever given birth,Penama,40 - 44,,671
2009,Female population ever given birth,Penama,45 - 49,,620
2009,Female population ever given birth,Penama,50 - 54,,490
2009,Female population ever given birth,Penama,55 - 59,,456
2009,Female population ever given birth,Penama,60 - 64,,284
2009,Female population ever given birth,Penama,65 - 69,,273
2009,Female population ever given birth,Penama,70+,,479
2009,Female population ever given birth,Malampa,,,8431
2009,Female population ever given birth,Malampa,15 - 19,,153
2009,Female population ever given birth,Malampa,20 - 24,,851
2009,Female population ever given birth,Malampa,25 - 29,,1156
2009,Female population ever given birth,Malampa,30 - 34,,1060
2009,Female population ever given birth,Malampa,35 - 39,,1060
2009,Female population ever given birth,Malampa,40 - 44,,893
2009,Female population ever given birth,Malampa,45 - 49,,855
2009,Female population ever given birth,Malampa,50 - 54,,605
2009,Female population ever given birth,Malampa,55 - 59,,568
2009,Female population ever given birth,Malampa,60 - 64,,388
2009,Female population ever given birth,Malampa,65 - 69,,308
2009,Female population ever given birth,Malampa,70+,,534
2009,Female population ever given birth,Shefa,,,7624
2009,Female population ever given birth,Shefa,15 - 19,,115
2009,Female population ever given birth,Shefa,20 - 24,,883
2009,Female population ever given birth,Shefa,25 - 29,,1017
2009,Female population ever given birth,Shefa,30 - 34,,1052
2009,Female population ever given birth,Shefa,35 - 39,,1040
2009,Female population ever given birth,Shefa,40 - 44,,847
2009,Female population ever given birth,Shefa,45 - 49,,702
2009,Female population ever given birth,Shefa,50 - 54,,537
2009,Female population ever given birth,Shefa,55 - 59,,445
