Year,Series,Commodity,Country,Unit,Value
2021,Value,,,Millions in Vatu (VUV),9704
2021,Value,Alcoholic drinks,,Millions in Vatu (VUV),576
2021,Value,Iron or steel,,Millions in Vatu (VUV),1253
2021,Value,Medicaments,,Millions in Vatu (VUV),495
2021,Value,Petroleum oils,,Millions in Vatu (VUV),6495
2021,Value,Rice,,Millions in Vatu (VUV),885
2021,Value,Alcoholic drinks,China,Millions in Vatu (VUV),291
2021,Value,Alcoholic drinks,France,Millions in Vatu (VUV),173
2021,Value,Alcoholic drinks,Singapore,Millions in Vatu (VUV),60
2021,Value,Alcoholic drinks,Solomon Islands,Millions in Vatu (VUV),42
2021,Value,Alcoholic drinks,United Kingdom,Millions in Vatu (VUV),11
2021,Value,Iron or steel,China,Millions in Vatu (VUV),381
2021,Value,Iron or steel,Australia,Millions in Vatu (VUV),658
2021,Value,Iron or steel,Japan,Millions in Vatu (VUV),0
2021,Value,Iron or steel,New Zealand,Millions in Vatu (VUV),144
2021,Value,Iron or steel,Fiji,Millions in Vatu (VUV),69
2021,Value,Medicaments,Australia,Millions in Vatu (VUV),152
2021,Value,Medicaments,New Zealand,Millions in Vatu (VUV),170
2021,Value,Medicaments,India,Millions in Vatu (VUV),116
2021,Value,Medicaments,United States of America,Millions in Vatu (VUV),37
2021,Value,Medicaments,Fiji,Millions in Vatu (VUV),19
2021,Value,Petroleum oils,Singapore,Millions in Vatu (VUV),6210
2021,Value,Petroleum oils,Australia,Millions in Vatu (VUV),94
2021,Value,Petroleum oils,New Zealand,Millions in Vatu (VUV),61
2021,Value,Petroleum oils,United Arab Emirates,Millions in Vatu (VUV),87
2021,Value,Petroleum oils,Malaysia,Millions in Vatu (VUV),44
2021,Value,Rice,China,Millions in Vatu (VUV),406
2021,Value,Rice,Taiwan,Millions in Vatu (VUV),288
2021,Value,Rice,Vietnam,Millions in Vatu (VUV),142
2021,Value,Rice,Fiji,Millions in Vatu (VUV),28
2021,Value,Rice,Thailand,Millions in Vatu (VUV),21
2022,Value,,,Millions in Vatu (VUV),9820
2022,Value,Alcoholic drinks,,Millions in Vatu (VUV),396
2022,Value,Iron or steel,,Millions in Vatu (VUV),862
2022,Value,Medicaments,,Millions in Vatu (VUV),403
2022,Value,Petroleum oils,,Millions in Vatu (VUV),7509
2022,Value,Rice,,Millions in Vatu (VUV),650
2022,Value,Alcoholic drinks,China,Millions in Vatu (VUV),202
2022,Value,Alcoholic drinks,France,Millions in Vatu (VUV),112
2022,Value,Alcoholic drinks,Singapore,Millions in Vatu (VUV),48
2022,Value,Alcoholic drinks,Solomon Islands,Millions in Vatu (VUV),28
2022,Value,Alcoholic drinks,United Kingdom,Millions in Vatu (VUV),6
2022,Value,Iron or steel,China,Millions in Vatu (VUV),296
2022,Value,Iron or steel,Australia,Millions in Vatu (VUV),494
2022,Value,Iron or steel,Japan,Millions in Vatu (VUV),0
2022,Value,Iron or steel,New Zealand,Millions in Vatu (VUV),28
2022,Value,Iron or steel,Fiji,Millions in Vatu (VUV),43
2022,Value,Medicaments,Australia,Millions in Vatu (VUV),104
2022,Value,Medicaments,New Zealand,Millions in Vatu (VUV),114
2022,Value,Medicaments,India,Millions in Vatu (VUV),129
2022,Value,Medicaments,United States of America,Millions in Vatu (VUV),37
2022,Value,Medicaments,Fiji,Millions in Vatu (VUV),19
2022,Value,Petroleum oils,Singapore,Millions in Vatu (VUV),7320
2022,Value,Petroleum oils,Australia,Millions in Vatu (VUV),48
2022,Value,Petroleum oils,New Zealand,Millions in Vatu (VUV),66
2022,Value,Petroleum oils,United Arab Emirates,Millions in Vatu (VUV),35
2022,Value,Petroleum oils,Malaysia,Millions in Vatu (VUV),39
2022,Value,Rice,China,Millions in Vatu (VUV),319
2022,Value,Rice,Taiwan,Millions in Vatu (VUV),269
2022,Value,Rice,Vietnam,Millions in Vatu (VUV),42
2022,Value,Rice,Fiji,Millions in Vatu (VUV),15
2022,Value,Rice,Thailand,Millions in Vatu (VUV),5
2023,Value,,,Millions in Vatu (VUV),17110
2023,Value,Alcoholic drinks,,Millions in Vatu (VUV),1319
2023,Value,Iron or steel,,Millions in Vatu (VUV),1236
2023,Value,Medicaments,,Millions in Vatu (VUV),507
