Year,GeoCode,Area Council,Value
2020,,,87054.0
2016,,,73435.0
2020,VU05002,Port Vila,14420.0
2020,VU02001,Luganville,5214.0
2020,VU01055,Torres,410.0
2020,VU01066,Ureparapara,141.0
2020,VU01063,Motalava,462.0
2020,VU01054,Vanua Lava,815.0
2020,VU01064,Mota,179.0
2020,VU01053,Gaua,763.0
2020,VU01065,Merelava,293.0
2020,VU02044,North West Santo,467.0
2020,VU02047,North Santo,1717.0
2020,VU02048,West Santo,882.0
2020,VU02045,South Santo,2678.0
2020,VU02056,East Santo,1750.0
2020,VU02046,South East Santo,2158.0
2020,VU02061,Canal - Fanafo,1445.0
2020,VU02043,West Malo,722.0
2020,VU02042,East Malo,631.0
2020,VU03052,West Ambae,1083.0
2020,VU03050,North Ambae,864.0
2020,VU03051,East Ambae,675.0
2020,VU03049,South Ambae,446.0
2020,VU03014,North Maewo,829.0
2020,VU03015,South Maewo,583.0
2020,VU03017,North Pentecost,2056.0
2020,VU03060,Central Pentecost 1874,
2020,VU03018,Central Pentecost 21193,
2020,VU03016,South Pentecost,1155.0
2020,VU04006,North West Malekula,1955.0
2020,VU04007,North East Malekula,2541.0
2020,VU04008,Central Malekula,2142.0
2020,VU04059,South West Malekula,932.0
2020,VU04009,South East Malekula,1612.0
2020,VU04058,South Malekula,1361.0
2020,VU04011,North Ambrym,886.0
2020,VU04010,West Ambrym,760.0
2020,VU04012,South East Ambrym,460.0
2020,VU04013,Paama,386.0
2020,VU05029,Vermali,739.0
2020,VU05028,Vermaul,420.0
2020,VU05030,Varisu,579.0
2020,VU05027,South Epi,543.0
2020,VU05031,North Tongoa,559.0
2020,VU05032,Tongariki,310.0
2020,VU05033,Makimae,349.0
2020,VU05036,Nguna,620.0
2020,VU05034,Emau,292.0
2020,VU05041,Malorua,964.0
2020,VU05035,North Efate,1054.0
2020,VU05057,Mele,1700.0
2020,VU05039,Ifira,297.0
2020,VU05038,Pango,477.0
2020,VU05040,Erakor,3377.0
2020,VU05003,Eratap,2183.0
2020,VU05037,Eton,1103.0
2020,VU06019,North Erromango,673.0
2020,VU06020,South Erromango,196.0
2020,VU06005,Aniwa,205.0
2020,VU06026,North Tanna,1301.0
2020,VU06023,West Tanna,3784.0
2020,VU06062,Middle Bush Tanna,2412.0
2020,VU06023,South West Tanna,1331.0
2020,VU06023,Whitesands,2399.0
2020,VU06022,South Tanna,590.0
2020,VU06004,Futuna,250.0
2020,VU06021,Aneityum,409.0
2016,VU05002,Port Vila,14206.0
2016,VU02001,Luganville,4649.0
2016,VU01055,Torres,279.0
2016,VU01066,Ureparapara,141.0
2016,VU01063,Motalava,452.0
2016,VU01054,Vanua Lava,889.0
2016,VU01064,Mota,180.0
2016,VU01053,Gaua,634.0
2016,VU01065,Merelava,190.0
2016,VU02044,North West Santo,331.0
2016,VU02047,North Santo,1179.0
2016,VU02048,West Santo,598.0
2016,VU02045,South Santo,2078.0
2016,VU02056,East Santo,1238.0
2016,VU02046,South East Santo,1495.0
2016,VU02061,Canal - Fanafo,1223.0
2016,VU02043,West Malo,577.0
2016,VU02042,East Malo,495.0
2016,VU03052,West Ambae,1191.0
2016,VU03050,North Ambae,960.0
2016,VU03051,East Ambae,485.0
2016,VU03049,South Ambae,461.0
2016,VU03014,North Maewo,679.0
2016,VU03015,South Maewo,327.0
2016,VU03017,North Pentecost,1806.0
2016,VU03060,Central Pentecost 1718,
2016,VU03018,Central Pentecost 2875,
2016,VU03016,South Pentecost,1136.0
2016,VU04006,North West Malekula,1841.0
2016,VU04007,North East Malekula,2133.0
2016,VU04008,Central Malekula,1682.0
2016,VU04059,South West Malekula,899.0
2016,VU04009,South East Malekula,1315.0
2016,VU04058,South Malekula,906.0
2016,VU04011,North Ambrym,852.0
2016,VU04010,West Ambrym,823.0
2016,VU04012South East Ambrym,409,
2016,VU04013,Paama,498.0
2016,VU05029,Vermali,543.0
2016,VU05028,Vermaul,367.0
2016,VU05030,Varisu,352.0
2016,VU05027,South Epi,326.0
2016,VU05031,North Tongoa,479.0
2016,VU05032,Tongariki,256.0
2016,VU05033,Makimae,350.0
2016,VU05036,Nguna,510.0
2016,VU05034,Emau,247.0
2016,VU05041,Malorua,710.0
2016,VU05035,North Efate,865.0
2016,VU05057,Mele,1114.0
2016,VU05039,Ifira,346.0
2016,VU05038,Pango,668.0
2016,VU05040,Erakor,2223.0
2016,VU05003,Eratap,1629.0
2016,VU05037,Eton,845.0
2016,VU06019,North Erromango,574.0
2016,VU06020,South Erromango,185.0
2016,VU06005,Aniwa,105.0
2016,VU06026,North Tanna,1270.0
2016,VU06023,West Tanna,2406.0
2016,VU06062,Middle Bush Tanna,2000.0
2016,VU06023,South West Tanna,1253.0
2016,VU06023,Whitesands,1936.0
2016,VU06022,South Tanna,363.0
2016,VU06004,Futuna,282.0
2016,VU06021,Aneityum,401.0
