Year,Revenue Source,Value
2016,,21664.4
2017,,29719.2
2018,,38884.0
2019,,40274.3
2020,,42143.6
2021,,40514.8
2022,,35193.7
2023,,43198.7
2024,,47266.0
2025,,55425.1
2016,Taxes on Property,383.2
2017,Taxes on Property,488.2
2018,Taxes on Property,565.9
2019,Taxes on Property,648.1
2020,Taxes on Property,602.1
2021,Taxes on Property,467.6
2022,Taxes on Property,451.2
2023,Taxes on Property,493.5
2024,Taxes on Property,705.9
2025,Taxes on Property,958.5
2016,Value Added,5548.8
2017,Value Added,6912.5
2018,Value Added,8224.2
2019,Value Added,8732.1
2020,Value Added,7568.4
2021,Value Added,7296.6
2022,Value Added,9336.9
2023,Value Added,10869.2
2024,Value Added,11942.3
2025,Value Added,15068.6
2016,Excise,2219.5
2017,Excise,2577.8
2018,Excise,2784.1
2019,Excise,2829.4
2020,Excise,2593.0
2021,Excise,3071.7
2022,Excise,2731.4
2023,Excise,4053.2
2024,Excise,3572.8
2025,Excise,3573.7
2016,Other,2232.9
2017,Other,2736.8
2018,Other,2712.5
2019,Other,3004.2
2020,Other,2071.4
2021,Other,1535.0
2022,Other,2156.8
2023,Other,3685.7
2024,Other,4358.1
2025,Other,4141.6
2016,Taxes on Inter.trade & transaction,2939.7
2017,Taxes on Inter.trade & transaction,3534.1
2018,Taxes on Inter.trade & transaction,3694.0
2019,Taxes on Inter.trade & transaction,3623.2
2020,Taxes on Inter.trade & transaction,3133.1
2021,Taxes on Inter.trade & transaction,3961.4
2022,Taxes on Inter.trade & transaction,4011.4
2023,Taxes on Inter.trade & transaction,4711.2
2024,Taxes on Inter.trade & transaction,3973.0
2025,Taxes on Inter.trade & transaction,4107.9
