Year,Country,Value
2016,,-44383
2017,,-34265
2018,,-36240
2019,,-34542
2020,,-29312
2021,,-26029
2022,,-19975
2023,,-40294
2024,,-39892
2025,,-37065
2016,Australia,-8904
2017,Australia,-8105
2018,Australia,-8443
2019,Australia,-7186
2020,Australia,-6449
2021,Australia,-6984
2022,Australia,-4618
2023,Australia,-7958
2024,Australia,-6448
2025,Australia,-7414
2016,China,-5656
2017,China,-5267
2018,China,-4012
2019,China,-4079
2020,China,-3261
2021,China,-3660
2022,China,-3439
2023,China,-5912
2024,China,-6448
2025,China,-8880
2016,Fiji,-4520
2017,Fiji,-3751
2018,Fiji,-2713
2019,Fiji,-2541
2020,Fiji,-2784
2021,Fiji,-2616
2022,Fiji,-1817
2023,Fiji,-4006
2024,Fiji,-3351
2025,Fiji,-2725
2016,France,-2128
2017,France,-1025
2018,France,-920
2019,France,-709
2020,France,-763
2021,France,-628
2022,France,-558
2023,France,-1199
2024,France,-1125
2025,France,-1276
2016,Hong Kong,-914
2017,Hong Kong,-1229
2018,Hong Kong,-1054
2019,Hong Kong,-974
2020,Hong Kong,-914
2021,Hong Kong,-894
2022,Hong Kong,-401
2023,Hong Kong,-1388
2024,Hong Kong,-2354
2025,Hong Kong,-1429
2016,India,-249
2017,India,-302
2018,India,-315
2019,India,-299
2020,India,-264
2021,India,-328
2022,India,-257
2023,India,-457
2024,India,-465
2025,India,-499
2016,Indonesia,-427
2017,Indonesia,-497
2018,Indonesia,-452
2019,Indonesia,-609
2020,Indonesia,-492
2021,Indonesia,-410
2022,Indonesia,-380
2023,Indonesia,-691
2024,Indonesia,-706
2025,Indonesia,-883
2016,Japan,-2815
2017,Japan,-1911
2018,Japan,-2722
2019,Japan,-2344
2020,Japan,-1457
2021,Japan,-747
2022,Japan,-592
2023,Japan,-2268
2024,Japan,-2560
2025,Japan,-1996
2016,Republic of Korea,-931
2017,Republic of Korea,-776
2018,Republic of Korea,-638
2019,Republic of Korea,-598
2020,Republic of Korea,-555
2021,Republic of Korea,-366
2022,Republic of Korea,-261
2023,Republic of Korea,-474
2024,Republic of Korea,-578
2025,Republic of Korea,-633
2016,Malaysia,370
2017,Malaysia,534
2018,Malaysia,254
2019,Malaysia,80
2020,Malaysia,-137
2021,Malaysia,-173
2022,Malaysia,-13
2023,Malaysia,-340
2024,Malaysia,69
2025,Malaysia,556
2016,Netherlands,-4649
2017,Netherlands,-86
2018,Netherlands,-59
2019,Netherlands,-64
2020,Netherlands,-52
2021,Netherlands,-116
2022,Netherlands,-91
2023,Netherlands,-178
2024,Netherlands,-107
2025,Netherlands,-70
2016,New Caledonia,-244
2017,New Caledonia,-198
2018,New Caledonia,-278
2019,New Caledonia,80
2020,New Caledonia,202
2021,New Caledonia,81
2022,New Caledonia,126
2023,New Caledonia,95
2024,New Caledonia,257
2025,New Caledonia,-45
2016,New Zealand,-4937
2017,New Zealand,-3913
2018,New Zealand,-3814
2019,New Zealand,-3638
2020,New Zealand,-3790
2021,New Zealand,-3282
2022,New Zealand,-2487
2023,New Zealand,-3931
2024,New Zealand,-4085
2025,New Zealand,-3911
2016,Papua New Guinea,13
2017,Papua New Guinea,131
2018,Papua New Guinea,-92
2019,Papua New Guinea,-168
2020,Papua New Guinea,-250
2021,Papua New Guinea,-120
2022,Papua New Guinea,-96
2023,Papua New Guinea,-207
2024,Papua New Guinea,-249
2025,Papua New Guinea,-380
2016,Philippines,1424
2017,Philippines,1637
2018,Philippines,104
2019,Philippines,154
2020,Philippines,202
2021,Philippines,538
2022,Philippines,560
2023,Philippines,195
2024,Philippines,20
2025,Philippines,37
2016,Singapore,-5349
2017,Singapore,-7277
2018,Singapore,-9185
2019,Singapore,-9781
2020,Singapore,-6279
2021,Singapore,-3682
2022,Singapore,-4181
2023,Singapore,-7515
2024,Singapore,-6789
2025,Singapore,-5520
2016,Solomon Islands,-12
2017,Solomon Islands,-147
2018,Solomon Islands,-210
2019,Solomon Islands,-178
2020,Solomon Islands,-192
2021,Solomon Islands,-124
2022,Solomon Islands,293
2023,Solomon Islands,-563
2024,Solomon Islands,-190
2025,Solomon Islands,-270
2016,Thailand,-1380
2017,Thailand,-1657
2018,Thailand,-1563
2019,Thailand,-1353
2020,Thailand,-1183
2021,Thailand,-1034
2022,Thailand,-1082
2023,Thailand,-2112
2024,Thailand,-1851
2025,Thailand,-1812
2016,United Kingdom,-90
2017,United Kingdom,-131
2018,United Kingdom,-23
2019,United Kingdom,-35
2020,United Kingdom,-29
2021,United Kingdom,-32
2022,United Kingdom,-32
2023,United Kingdom,-128
2024,United Kingdom,-126
2025,United Kingdom,-79
2016,USA,-1562
2017,USA,-295
2018,USA,-1
2019,USA,-197
2020,USA,50
2021,USA,-30
2022,USA,73
2023,USA,-131
2024,USA,-1193
2025,USA,391
