Year,Series,Transport Type,Unit,Value
2015,Change in arrivals,,Change in number of arrivals,-41590
2016,Change in arrivals,,Change in number of arrivals,64176
2017,Change in arrivals,,Change in number of arrivals,-18878
2018,Change in arrivals,,Change in number of arrivals,17480
2019,Change in arrivals,,Change in number of arrivals,-94216
2020,Change in arrivals,,Change in number of arrivals,-275720
2022,Change in arrivals,,Change in number of arrivals,-17280
2023,Change in arrivals,,Change in number of arrivals,276519
2015,Change in arrivals,Airplane,Change in number of arrivals,-18856
2016,Change in arrivals,Airplane,Change in number of arrivals,5165
2017,Change in arrivals,Airplane,Change in number of arrivals,14053
2018,Change in arrivals,Airplane,Change in number of arrivals,6464
2019,Change in arrivals,Airplane,Change in number of arrivals,4994
2020,Change in arrivals,Airplane,Change in number of arrivals,-102101
2022,Change in arrivals,Airplane,Change in number of arrivals,8409
2023,Change in arrivals,Airplane,Change in number of arrivals,46625
2015,Change in arrivals,Cruiseships,Change in number of arrivals,-22734
2016,Change in arrivals,Cruiseships,Change in number of arrivals,59011
2017,Change in arrivals,Cruiseships,Change in number of arrivals,-32931
2018,Change in arrivals,Cruiseships,Change in number of arrivals,11016
2019,Change in arrivals,Cruiseships,Change in number of arrivals,-99210
2020,Change in arrivals,Cruiseships,Change in number of arrivals,-74956
2022,Change in arrivals,Cruiseships,Change in number of arrivals,-25847
2023,Change in arrivals,Cruiseships,Change in number of arrivals,229024
2015,Total number of arrivals,,Total number of arrivals,287423
2016,Total number of arrivals,,Total number of arrivals,351599
2017,Total number of arrivals,,Total number of arrivals,332721
2018,Total number of arrivals,,Total number of arrivals,350201
2019,Total number of arrivals,,Total number of arrivals,255985
2020,Total number of arrivals,,Total number of arrivals,82366
2022,Total number of arrivals,,Total number of arrivals,65086
2023,Total number of arrivals,,Total number of arrivals,341605
2015,Total number of arrivals,Airplane,Total number of arrivals,89952
2016,Total number of arrivals,Airplane,Total number of arrivals,95117
2017,Total number of arrivals,Airplane,Total number of arrivals,109170
2018,Total number of arrivals,Airplane,Total number of arrivals,115634
2019,Total number of arrivals,Airplane,Total number of arrivals,120628
2020,Total number of arrivals,Airplane,Total number of arrivals,21965
2022,Total number of arrivals,Airplane,Total number of arrivals,30374
2023,Total number of arrivals,Airplane,Total number of arrivals,76999
2015,Total number of arrivals,Cruiseships,Total number of arrivals,197471
2016,Total number of arrivals,Cruiseships,Total number of arrivals,256482
2017,Total number of arrivals,Cruiseships,Total number of arrivals,223551
2018,Total number of arrivals,Cruiseships,Total number of arrivals,234567
2019,Total number of arrivals,Cruiseships,Total number of arrivals,135357
2020,Total number of arrivals,Cruiseships,Total number of arrivals,60401
2022,Total number of arrivals,Cruiseships,Total number of arrivals,34554
2023,Total number of arrivals,Cruiseships,Total number of arrivals,263578
