Year,Fruit or Vegetable,Value
2023,,211
2022,,101
2021,,113
2020,,160
2019,,226
2018,,211
2023,Cabbage Lettuce,0
2023,Capsicum,2
2023,Carrots and Turnips,20
2023,Cauliflowers and Broccoli,3
2023,Corn,0
2023,Cucumber and Gherkins,0
2023,Onions and Shallots,61
2023,Oranges,30
2023,Potatoes,92
2023,"Pumpkins, Squash, and Gourds",0
2023,Tomatoes,3
2023,Watermelons,0
2022,Cabbage Lettuce,0
2022,Capsicum,2
2022,Carrots and Turnips,8
2022,Cauliflowers and Broccoli,4
2022,Corn,1
2022,Cucumber and Gherkins,0
2022,Onions and Shallots,25
2022,Oranges,13
2022,Potatoes,42
2022,"Pumpkins, Squash, and Gourds",1
2022,Tomatoes,6
2022,Watermelons,0
2021,Cabbage Lettuce,0
2021,Capsicum,2
2021,Carrots and Turnips,11
2021,Cauliflowers and Broccoli,3
2021,Corn,0
2021,Cucumber and Gherkins,0
2021,Onions and Shallots,23
2021,Oranges,13
2021,Potatoes,56
2021,"Pumpkins, Squash, and Gourds",0
2021,Tomatoes,4
2021,Watermelons,0
2020,Cabbage Lettuce,0
2020,Capsicum,4
2020,Carrots and Turnips,16
2020,Cauliflowers and Broccoli,4
2020,Corn,1
2020,Cucumber and Gherkins,0
2020,Onions and Shallots,43
2020,Oranges,17
2020,Potatoes,71
2020,"Pumpkins, Squash, and Gourds",0
2020,Tomatoes,4
2020,Watermelons,0
2019,Cabbage Lettuce,0
2019,Capsicum,9
2019,Carrots and Turnips,23
2019,Cauliflowers and Broccoli,9
2019,Corn,1
2019,Cucumber and Gherkins,0
2019,Onions and Shallots,73
2019,Oranges,18
2019,Potatoes,84
2019,"Pumpkins, Squash, and Gourds",0
2019,Tomatoes,9
2019,Watermelons,0
2018,Cabbage Lettuce,1
2018,Capsicum,9
2018,Carrots and Turnips,24
2018,Cauliflowers and Broccoli,12
2018,Corn,1
2018,Cucumber and Gherkins,0
2018,Onions and Shallots,54
2018,Oranges,13
2018,Potatoes,87
2018,"Pumpkins, Squash, and Gourds",0
2018,Tomatoes,9
2018,Watermelons,0
