Year,Units,Series,Value
2006,Total,"Total Private Motor Vehicular Registration, Port Vila and Luganville (PROXY)",766
2007,Total,"Total Private Motor Vehicular Registration, Port Vila and Luganville (PROXY)",1008
2008,Total,"Total Private Motor Vehicular Registration, Port Vila and Luganville (PROXY)",1409
2009,Total,"Total Private Motor Vehicular Registration, Port Vila and Luganville (PROXY)",1118
2010,Total,"Total Private Motor Vehicular Registration, Port Vila and Luganville (PROXY)",1157
2011,Total,"Total Private Motor Vehicular Registration, Port Vila and Luganville (PROXY)",1162
2012,Total,"Total Private Motor Vehicular Registration, Port Vila and Luganville (PROXY)",1026
2013,Total,"Total Private Motor Vehicular Registration, Port Vila and Luganville (PROXY)",1231
2014,Total,"Total Private Motor Vehicular Registration, Port Vila and Luganville (PROXY)",1141
2015,Total,"Total Private Motor Vehicular Registration, Port Vila and Luganville (PROXY)",1049
2016,Total,"Total Private Motor Vehicular Registration, Port Vila and Luganville (PROXY)",1300
2017,Total,"Total Private Motor Vehicular Registration, Port Vila and Luganville (PROXY)",1649
2018,Total,"Total Private Motor Vehicular Registration, Port Vila and Luganville (PROXY)",1653
