Year,Technology,Urban/Rural,Region,Unit of measurement,Value
2020,Cell Phone,,,Percentage of private households (%),59.7
2020,Laptpop,,,Percentage of private households (%),8.9
2020,Tablet,,,Percentage of private households (%),6.0
2020,Internet,,,Percentage of private households (%),2.2
2020,Desktop,,,Percentage of private households (%),0.6
2020,Landline,,,Percentage of private households (%),0.26
2020,Satelite Phone,,,Percentage of private households (%),0.16
2020,Cell Phone,Urban,,Percentage of private households (%),59.5
2020,Laptpop,Urban,,Percentage of private households (%),17.9
2020,Tablet,Urban,,Percentage of private households (%),8.1
2020,Internet,Urban,,Percentage of private households (%),4.2
2020,Desktop,Urban,,Percentage of private households (%),1.9
2020,Landline,Urban,,Percentage of private households (%),0.37
2020,Satelite Phone,Urban,,Percentage of private households (%),0.07
2020,Cell Phone,Rural,,Percentage of private households (%),59.7
2020,Laptpop,Rural,,Percentage of private households (%),6.2
2020,Tablet,Rural,,Percentage of private households (%),5.4
2020,Internet,Rural,,Percentage of private households (%),1.6
2020,Desktop,Rural,,Percentage of private households (%),0.3
2020,Landline,Rural,,Percentage of private households (%),0.22
2020,Satelite Phone,Rural,,Percentage of private households (%),0.2
2020,Cell Phone,,Port Vila,Percentage of private households (%),58.66
2020,Laptpop,,Port Vila,Percentage of private households (%),18.99
2020,Tablet,,Port Vila,Percentage of private households (%),7.71
2020,Internet,,Port Vila,Percentage of private households (%),4.94
2020,Desktop,,Port Vila,Percentage of private households (%),2.12
2020,Landline,,Port Vila,Percentage of private households (%),0.41
2020,Satelite Phone,,Port Vila,Percentage of private households (%),0.08
2020,Cell Phone,,Luganville,Percentage of private households (%),62.26
2020,Laptpop,,Luganville,Percentage of private households (%),14.91
2020,Tablet,,Luganville,Percentage of private households (%),9.22
2020,Internet,,Luganville,Percentage of private households (%),2.11
2020,Desktop,,Luganville,Percentage of private households (%),1.3
2020,Landline,,Luganville,Percentage of private households (%),0.23
2020,Satelite Phone,,Luganville,Percentage of private households (%),0.06
2020,Cell Phone,,Torba,Percentage of private households (%),57.4
