Year,Units,Series,Value
2015,Percent,Literacy Standards Yr 4 Anglo,25
2017,Percent,Literacy Standards Yr 4 Anglo,65
2015,Percent,Literacy Standards Yr 6 Anglo,30
2017,Percent,Literacy Standards Yr 6 Anglo,73
2015,Percent,Numeracy Standards Yr 4 Anglo,37
2017,Percent,Numeracy Standards Yr 4 Anglo,85
2015,Percent,Numeracy Standards Yr 6 Anglo,43
2017,Percent,Numeracy Standards Yr 6 Anglo,75
2015,Percent,Literacy Standards Yr 4 Franco,5
2017,Percent,Literacy Standards Yr 4 Franco,64
2015,Percent,Literacy Standards Yr 6 Franco,19
2017,Percent,Literacy Standards Yr 6 Franco,41
2015,Percent,Numeracy Standards Yr 4 Franco,37
2015,Percent,Numeracy Standards Yr 6 Franco,44
