Year,Province,Sex,Age,GeoCode,Value
2020,,,,,57
2020,TORBA,,,VU01,54
2020,TORBA,Male,,VU01,57
2020,TORBA,Male,15-30,VU01,60
2020,TORBA,Male,31-64,VU01,54
2020,TORBA,Male,65+,VU01,53
2020,TORBA,Female,,VU01,52
2020,TORBA,Female,15-30,VU01,60
2020,TORBA,Female,31-64,VU01,46
2020,TORBA,Female,65+,VU01,39
2020,SANMA,,,VU02,49
2020,SANMA,Male,,VU02,47
2020,SANMA,Male,15-30,VU02,55
2020,SANMA,Male,31-64,VU02,45
2020,SANMA,Male,65+,VU02,29
2020,SANMA,Female,,VU02,52
2020,SANMA,Female,15-30,VU02,55
2020,SANMA,Female,31-64,VU02,52
2020,SANMA,Female,65+,VU02,28
2020,PENAMA,,,VU03,63
2020,PENAMA,Male,,VU03,68
2020,PENAMA,Male,15-30,VU03,80
2020,PENAMA,Male,31-64,VU03,66
2020,PENAMA,Male,65+,VU03,36
2020,PENAMA,Female,,VU03,58
2020,PENAMA,Female,15-30,VU03,69
2020,PENAMA,Female,31-64,VU03,53
2020,PENAMA,Female,65+,VU03,25
2020,MALAMPA,,,VU04,46
2020,MALAMPA,Male,,VU04,49
2020,MALAMPA,Male,15-30,VU04,63
2020,MALAMPA,Male,31-64,VU04,46
2020,MALAMPA,Male,65+,VU04,21
2020,MALAMPA,Female,,VU04,43
2020,MALAMPA,Female,15-30,VU04,55
2020,MALAMPA,Female,31-64,VU04,40
2020,MALAMPA,Female,65+,VU04,14
2020,SHEFA,,,VU05,63
2020,SHEFA,Male,,VU05,66
2020,SHEFA,Male,15-30,VU05,67
2020,SHEFA,Male,31-64,VU05,67
2020,SHEFA,Male,65+,VU05,59
2020,SHEFA,Female,,VU05,60
2020,SHEFA,Female,15-30,VU05,61
2020,SHEFA,Female,31-64,VU05,60
2020,SHEFA,Female,65+,VU05,62
2020,TAFEA,,,VU06,57
2020,TAFEA,Male,,VU06,58
2020,TAFEA,Male,15-30,VU06,63
2020,TAFEA,Male,31-64,VU06,54
2020,TAFEA,Male,65+,VU06,61
2020,TAFEA,Female,,VU06,55
2020,TAFEA,Female,15-30,VU06,61
2020,TAFEA,Female,31-64,VU06,50
2020,TAFEA,Female,65+,VU06,57
2012,,,,,40
2010,,,,,38
2010,TORBA,,,VU01,58
2010,SANMA,,,VU02,37
2010,PENAMA,,,VU03,39
2010,MALAMPA,,,VU04,31
2010,SHEFA,,,VU05,38
2010,TAFEA,,,VU06,34
