Year,Series,MajorIndustry,MinorIndustry,Unit,Value
2015,Totalnumber(majorindustry),,,Totalnumberofbusinesses,3716
2015,Totalnumber(majorindustry),Accommodationandfoodserviceactivities,,Totalnumberofbusinesses,477
2015,Totalnumber(majorindustry),Administrativeandsupportserviceactivities,,Totalnumberofbusinesses,209
2015,Totalnumber(majorindustry),"Agriculture,forestryandfishing",,Totalnumberofbusinesses,10
2015,Totalnumber(majorindustry),"Arts,entertainmentandrecreation",,Totalnumberofbusinesses,60
2015,Totalnumber(majorindustry),Construction,,Totalnumberofbusinesses,232
2015,Totalnumber(majorindustry),Education,,Totalnumberofbusinesses,38
2015,Totalnumber(majorindustry),"Electricity,gas,steamandairconditioningsupply",,Totalnumberofbusinesses,4
2015,Totalnumber(majorindustry),Financialandinsuranceactivities,,Totalnumberofbusinesses,86
2015,Totalnumber(majorindustry),Humanhealthandsocialworkactivities,,Totalnumberofbusinesses,46
2015,Totalnumber(majorindustry),Informationandcommunication,,Totalnumberofbusinesses,52
2015,Totalnumber(majorindustry),Manufacturing,,Totalnumberofbusinesses,224
2015,Totalnumber(majorindustry),Miningandquarrying,,Totalnumberofbusinesses,11
2015,Totalnumber(majorindustry),Otherserviceactivities,,Totalnumberofbusinesses,61
2015,Totalnumber(majorindustry),"Professional,scientificandtechnicalactivities",,Totalnumberofbusinesses,337
2015,Totalnumber(majorindustry),Publicadministrationanddefence;compulsorysocialsecurity,,Totalnumberofbusinesses,0
2015,Totalnumber(majorindustry),Realestateactivities,,Totalnumberofbusinesses,67
2015,Totalnumber(majorindustry),Transportationandstorage,,Totalnumberofbusinesses,770
2015,Totalnumber(majorindustry),"Watersupply;sewerage,wastemanagementandremediationactivities",,Totalnumberofbusinesses,11
2015,Totalnumber(majorindustry),Wholesaleandretailtrade;repairofmotorvehiclesandmotorcycles,,Totalnumberofbusinesses,1021
2015,Proportion(majorindustry),Accommodationandfoodserviceactivities,,Percentageofindustry(%),13
2015,Proportion(majorindustry),Administrativeandsupportserviceactivities,,Percentageofindustry(%),6
2015,Proportion(majorindustry),"Agriculture,forestryandfishing",,Percentageofindustry(%),0
2015,Proportion(majorindustry),"Arts,entertainmentandrecreation",,Percentageofindustry(%),2
2015,Proportion(majorindustry),Construction,,Percentageofindustry(%),6
2015,Proportion(majorindustry),Education,,Percentageofindustry(%),1
2015,Proportion(majorindustry),"Electricity,gas,steamandairconditioningsupply",,Percentageofindustry(%),0
2015,Proportion(majorindustry),Financialandinsuranceactivities,,Percentageofindustry(%),2
2015,Proportion(majorindustry),Humanhealthandsocialworkactivities,,Percentageofindustry(%),1
2015,Proportion(majorindustry),Informationandcommunication,,Percentageofindustry(%),1
2015,Proportion(majorindustry),Manufacturing,,Percentageofindustry(%),6
2015,Proportion(majorindustry),Miningandquarrying,,Percentageofindustry(%),0
2015,Proportion(majorindustry),Otherserviceactivities,,Percentageofindustry(%),2
2015,Proportion(majorindustry),"Professional,scientificandtechnicalactivities",,Percentageofindustry(%),9
