Year,Series,Region,TypeofSchool,Value
2009,Population3+currentlyattendinganeducationalinstitution,,,56603
2009,Population3+currentlyattendinganeducationalinstitution,,Pre-school,5953
2009,Population3+currentlyattendinganeducationalinstitution,,Primary,42323
2009,Population3+currentlyattendinganeducationalinstitution,,Juniorsecondary,4221
2009,Population3+currentlyattendinganeducationalinstitution,,Seniorsecondary,2579
2009,Population3+currentlyattendinganeducationalinstitution,,Tertiary,1527
2009,Population3+currentlyattendinganeducationalinstitution,PortVila,,10247
2009,Population3+currentlyattendinganeducationalinstitution,PortVila,Pre-school,825
2009,Population3+currentlyattendinganeducationalinstitution,PortVila,Primary,6114
2009,Population3+currentlyattendinganeducationalinstitution,PortVila,Juniorsecondary,1119
2009,Population3+currentlyattendinganeducationalinstitution,PortVila,Seniorsecondary,1371
2009,Population3+currentlyattendinganeducationalinstitution,PortVila,Tertiary,818
2009,Population3+currentlyattendinganeducationalinstitution,Luganville,,3428
2009,Population3+currentlyattendinganeducationalinstitution,Luganville,Pre-school,340
2009,Population3+currentlyattendinganeducationalinstitution,Luganville,Primary,2238
2009,Population3+currentlyattendinganeducationalinstitution,Luganville,Juniorsecondary,468
2009,Population3+currentlyattendinganeducationalinstitution,Luganville,Seniorsecondary,297
2009,Population3+currentlyattendinganeducationalinstitution,Luganville,Tertiary,85
2009,Population3+currentlyattendinganeducationalinstitution,Torba,,2366
2009,Population3+currentlyattendinganeducationalinstitution,Torba,Pre-school,349
2009,Population3+currentlyattendinganeducationalinstitution,Torba,Primary,1893
2009,Population3+currentlyattendinganeducationalinstitution,Torba,Juniorsecondary,89
2009,Population3+currentlyattendinganeducationalinstitution,Torba,Seniorsecondary,18
2009,Population3+currentlyattendinganeducationalinstitution,Torba,Tertiary,17
2009,Population3+currentlyattendinganeducationalinstitution,Sanma,,7457
2009,Population3+currentlyattendinganeducationalinstitution,Sanma,Pre-school,1053
2009,Population3+currentlyattendinganeducationalinstitution,Sanma,Primary,5691
2009,Population3+currentlyattendinganeducationalinstitution,Sanma,Juniorsecondary,451
2009,Population3+currentlyattendinganeducationalinstitution,Sanma,Seniorsecondary,149
2009,Population3+currentlyattendinganeducationalinstitution,Sanma,Tertiary,113
2009,Population3+currentlyattendinganeducationalinstitution,Penama,,7601
2009,Population3+currentlyattendinganeducationalinstitution,Penama,Pre-school,889
2009,Population3+currentlyattendinganeducationalinstitution,Penama,Primary,5889
2009,Population3+currentlyattendinganeducationalinstitution,Penama,Juniorsecondary,541
2009,Population3+currentlyattendinganeducationalinstitution,Penama,Seniorsecondary,191
2009,Population3+currentlyattendinganeducationalinstitution,Penama,Tertiary,91
2009,Population3+currentlyattendinganeducationalinstitution,Malampa,,9351
2009,Population3+currentlyattendinganeducationalinstitution,Malampa,Pre-school,1073
2009,Population3+currentlyattendinganeducationalinstitution,Malampa,Primary,7457
2009,Population3+currentlyattendinganeducationalinstitution,Malampa,Juniorsecondary,553
2009,Population3+currentlyattendinganeducationalinstitution,Malampa,Seniorsecondary,158
2009,Population3+currentlyattendinganeducationalinstitution,Malampa,Tertiary,110
2009,Population3+currentlyattendinganeducationalinstitution,Shefa,,7809
2009,Population3+currentlyattendinganeducationalinstitution,Shefa,Pre-school,805
2009,Population3+currentlyattendinganeducationalinstitution,Shefa,Primary,5977
2009,Population3+currentlyattendinganeducationalinstitution,Shefa,Juniorsecondary,545
2009,Population3+currentlyattendinganeducationalinstitution,Shefa,Seniorsecondary,286
2009,Population3+currentlyattendinganeducationalinstitution,Shefa,Tertiary,196
2009,Population3+currentlyattendinganeducationalinstitution,Tafea,,8344
2009,Population3+currentlyattendinganeducationalinstitution,Tafea,Pre-school,619
2009,Population3+currentlyattendinganeducationalinstitution,Tafea,Primary,7064
2009,Population3+currentlyattendinganeducationalinstitution,Tafea,Juniorsecondary,455
2009,Population3+currentlyattendinganeducationalinstitution,Tafea,Seniorsecondary,109
2009,Population3+currentlyattendinganeducationalinstitution,Tafea,Tertiary,97
2016,Population3+currentlyattendinganeducationalinstitution,,,77510
2016,Population3+currentlyattendinganeducationalinstitution,,Pre-school,18704
2016,Population3+currentlyattendinganeducationalinstitution,,Primary,47401
2016,Population3+currentlyattendinganeducationalinstitution,,Juniorsecondary,6804
2016,Population3+currentlyattendinganeducationalinstitution,,Seniorsecondary,3440
2016,Population3+currentlyattendinganeducationalinstitution,,Tertiary,1161
2016,Population3+currentlyattendinganeducationalinstitution,PortVila,,13793
2016,Population3+currentlyattendinganeducationalinstitution,PortVila,Pre-school,2635
2016,Population3+currentlyattendinganeducationalinstitution,PortVila,Primary,7388
2016,Population3+currentlyattendinganeducationalinstitution,PortVila,Juniorsecondary,1468
2016,Population3+currentlyattendinganeducationalinstitution,PortVila,Seniorsecondary,1543
2016,Population3+currentlyattendinganeducationalinstitution,PortVila,Tertiary,759
2016,Population3+currentlyattendinganeducationalinstitution,Luganville,,4848
2016,Population3+currentlyattendinganeducationalinstitution,Luganville,Pre-school,1080
2016,Population3+currentlyattendinganeducationalinstitution,Luganville,Primary,2554
2016,Population3+currentlyattendinganeducationalinstitution,Luganville,Juniorsecondary,674
2016,Population3+currentlyattendinganeducationalinstitution,Luganville,Seniorsecondary,496
2016,Population3+currentlyattendinganeducationalinstitution,Luganville,Tertiary,44
2016,Population3+currentlyattendinganeducationalinstitution,Torba,,2931
2016,Population3+currentlyattendinganeducationalinstitution,Torba,Pre-school,644
2016,Population3+currentlyattendinganeducationalinstitution,Torba,Primary,2002
2016,Population3+currentlyattendinganeducationalinstitution,Torba,Juniorsecondary,254
