Year,Ministry,Department,Program,Activity,Budget,Budget Type,Value
2004,Constitutional Agencies,President of the Republic,Presidential Support,Management of the State House and President,Operations,Actual,8110656
2004,Constitutional Agencies,President of the Republic,Presidential Support,Management of the State House and President,Operations,Budget,6231282
2004,Constitutional Agencies,President of the Republic,Presidential Support,Management of the State House and President,Operations,Original Budget,6231282
2004,Constitutional Agencies,President of the Republic,Presidential Support,Management of the State House and President,Payroll,Actual,13187533
2004,Constitutional Agencies,President of the Republic,Presidential Support,Management of the State House and President,Payroll,Budget,12924982
2004,Constitutional Agencies,President of the Republic,Presidential Support,Management of the State House and President,Payroll,Original Budget,12924982
2004,Constitutional Agencies,Parliament,Procedure and Legislative Office,Procedure and Legislative Affairs,Operations,Actual,141631108
2004,Constitutional Agencies,Parliament,Procedure and Legislative Office,Procedure and Legislative Affairs,Operations,Budget,134263109
2004,Constitutional Agencies,Parliament,Procedure and Legislative Office,Procedure and Legislative Affairs,Operations,Original Budget,134263109
2004,Constitutional Agencies,Parliament,Procedure and Legislative Office,Procedure and Legislative Affairs,Payroll,Actual,63947635
2004,Constitutional Agencies,Parliament,Procedure and Legislative Office,Procedure and Legislative Affairs,Payroll,Budget,21114340
2004,Constitutional Agencies,Parliament,Procedure and Legislative Office,Procedure and Legislative Affairs,Payroll,Budget Supplementary,40000000
2004,Constitutional Agencies,Parliament,Procedure and Legislative Office,Procedure and Legislative Affairs,Payroll,Original Budget,21114340
2004,Constitutional Agencies,Parliament,Procedure and Legislative Office,Security and Protocol,Operations,Actual,255935
2004,Constitutional Agencies,Parliament,Procedure and Legislative Office,Security and Protocol,Operations,Budget,313770
2004,Constitutional Agencies,Parliament,Procedure and Legislative Office,Security and Protocol,Operations,Original Budget,313770
2004,Constitutional Agencies,Parliament,Procedure and Legislative Office,Security and Protocol,Payroll,Actual,1011347
2004,Constitutional Agencies,Parliament,Procedure and Legislative Office,Security and Protocol,Payroll,Budget,1638048
2004,Constitutional Agencies,Parliament,Procedure and Legislative Office,Security and Protocol,Payroll,Original Budget,1638048
2004,Constitutional Agencies,Parliament,Procedure and Legislative Office,Inter-Parliamentary Relations,Operations,Actual,13837845
2004,Constitutional Agencies,Parliament,Procedure and Legislative Office,Inter-Parliamentary Relations,Operations,Budget,13474111
2004,Constitutional Agencies,Parliament,Procedure and Legislative Office,Inter-Parliamentary Relations,Operations,Original Budget,13474111
2004,Constitutional Agencies,Parliament,Procedure and Legislative Office,Office of the Leader of the Opposition,Operations,Actual,692186
2004,Constitutional Agencies,Parliament,Procedure and Legislative Office,Office of the Leader of the Opposition,Operations,Budget,766462
2004,Constitutional Agencies,Parliament,Procedure and Legislative Office,Office of the Leader of the Opposition,Operations,Original Budget,766462
2004,Constitutional Agencies,Parliament,Procedure and Legislative Office,Office of the Leader of the Opposition,Payroll,Actual,4766600
2004,Constitutional Agencies,Parliament,Procedure and Legislative Office,Office of the Leader of the Opposition,Payroll,Budget,7504281
2004,Constitutional Agencies,Parliament,Procedure and Legislative Office,Office of the Leader of the Opposition,Payroll,Original Budget,7504281
2004,Constitutional Agencies,Parliament,Standing Committees Office,Committee of the Standing Orders,Operations,Actual,1310290
2004,Constitutional Agencies,Parliament,Standing Committees Office,Committee of the Standing Orders,Operations,Budget,1388100
2004,Constitutional Agencies,Parliament,Standing Committees Office,Committee of the Standing Orders,Operations,Original Budget,1388100
2004,Constitutional Agencies,Parliament,Standing Committees Office,Committee on Parliamentary Privileges and Immunities,Operations,Actual,1251799
2004,Constitutional Agencies,Parliament,Standing Committees Office,Committee on Parliamentary Privileges and Immunities,Operations,Budget,1388100
2004,Constitutional Agencies,Parliament,Standing Committees Office,Committee on Parliamentary Privileges and Immunities,Operations,Original Budget,1388100
2004,Constitutional Agencies,Parliament,Standing Committees Office,Committee on the Public Accounts,Operations,Actual,4077289
2004,Constitutional Agencies,Parliament,Standing Committees Office,Committee on the Public Accounts,Operations,Budget,4290932
2004,Constitutional Agencies,Parliament,Standing Committees Office,Committee on the Public Accounts,Operations,Original Budget,4290932
2004,Constitutional Agencies,Parliament,Standing Committees Office,Committee on the Public Accounts,Payroll,Actual,1578775
2004,Constitutional Agencies,Parliament,Standing Committees Office,Committee on the Public Accounts,Payroll,Budget,2303269
2004,Constitutional Agencies,Parliament,Standing Committees Office,Committee on the Public Accounts,Payroll,Original Budget,2303269
2004,Constitutional Agencies,Parliament,Standing Committees Office,Committee on Institutions,Operations,Actual,1584916
2004,Constitutional Agencies,Parliament,Standing Committees Office,Committee on Institutions,Operations,Budget,1666524
2004,Constitutional Agencies,Parliament,Standing Committees Office,Committee on Institutions,Operations,Original Budget,1666524
2004,Constitutional Agencies,Parliament,Hansard Office,Parliamentary Reporting,Operations,Actual,437059
2004,Constitutional Agencies,Parliament,Hansard Office,Parliamentary Reporting,Operations,Budget,466000
2004,Constitutional Agencies,Parliament,Hansard Office,Parliamentary Reporting,Operations,Original Budget,466000
2004,Constitutional Agencies,Parliament,Hansard Office,Parliamentary Reporting,Payroll,Actual,2250751
2004,Constitutional Agencies,Parliament,Hansard Office,Parliamentary Reporting,Payroll,Budget,5248381
2004,Constitutional Agencies,Parliament,Hansard Office,Parliamentary Reporting,Payroll,Original Budget,5248381
2004,Constitutional Agencies,Parliament,Hansard Office,Library and Archives,Operations,Actual,762305
2004,Constitutional Agencies,Parliament,Hansard Office,Library and Archives,Operations,Budget,868400
2004,Constitutional Agencies,Parliament,Hansard Office,Library and Archives,Operations,Original Budget,868400
2004,Constitutional Agencies,Parliament,Hansard Office,Library and Archives,Payroll,Actual,22831
2004,Constitutional Agencies,Parliament,Hansard Office,Library and Archives,Payroll,Budget,2296379
2004,Constitutional Agencies,Parliament,Hansard Office,Library and Archives,Payroll,Original Budget,2296379
2004,Constitutional Agencies,Parliament,Corporate Services Office,Financial Management,Operations,Budget,296632
2004,Constitutional Agencies,Parliament,Corporate Services Office,Financial Management,Operations,Original Budget,296632
2004,Constitutional Agencies,Parliament,Corporate Services Office,Financial Management,Payroll,Actual,3876014
2004,Constitutional Agencies,Parliament,Corporate Services Office,Financial Management,Payroll,Budget,2609959
2004,Constitutional Agencies,Parliament,Corporate Services Office,Financial Management,Payroll,Original Budget,2609959
2004,Constitutional Agencies,Parliament,Corporate Services Office,Personnel Administration and Maintenance,Operations,Actual,13258453
2004,Constitutional Agencies,Parliament,Corporate Services Office,Personnel Administration and Maintenance,Operations,Budget,9778599
2004,Constitutional Agencies,Parliament,Corporate Services Office,Personnel Administration and Maintenance,Operations,Original Budget,9778599
2004,Constitutional Agencies,Parliament,Corporate Services Office,Personnel Administration and Maintenance,Payroll,Actual,4279813
2004,Constitutional Agencies,Parliament,Corporate Services Office,Personnel Administration and Maintenance,Payroll,Budget,4674997
2004,Constitutional Agencies,Parliament,Corporate Services Office,Personnel Administration and Maintenance,Payroll,Original Budget,4674997
2004,Constitutional Agencies,Parliament,Corporate Services Office,Members Allocation,Operations,Actual,55971165
2004,Constitutional Agencies,Parliament,Corporate Services Office,Members Allocation,Operations,Budget,62758444
2004,Constitutional Agencies,Parliament,Corporate Services Office,Members Allocation,Operations,Original Budget,62758444
2004,Constitutional Agencies,Office of the Ombudsman,"Planning, Management and Investigations","Planning, Management and Investigations",Operations,Actual,10630074
2004,Constitutional Agencies,Office of the Ombudsman,"Planning, Management and Investigations","Planning, Management and Investigations",Operations,Budget,8928545
2004,Constitutional Agencies,Office of the Ombudsman,"Planning, Management and Investigations","Planning, Management and Investigations",Operations,Original Budget,8928545
2004,Constitutional Agencies,Office of the Ombudsman,"Planning, Management and Investigations","Planning, Management and Investigations",Payroll,Actual,26255606
2004,Constitutional Agencies,Office of the Ombudsman,"Planning, Management and Investigations","Planning, Management and Investigations",Payroll,Budget,28917088
2004,Constitutional Agencies,Office of the Ombudsman,"Planning, Management and Investigations","Planning, Management and Investigations",Payroll,Original Budget,28917088
2004,Constitutional Agencies,Malvatumauri Council of Chiefs,"Preservation of Vanuatu Customs, Culture and Language",Administration of the National Council of Chiefs,Operations,Actual,4956621
2004,Constitutional Agencies,Malvatumauri Council of Chiefs,"Preservation of Vanuatu Customs, Culture and Language",Administration of the National Council of Chiefs,Operations,Budget,5363000
2004,Constitutional Agencies,Malvatumauri Council of Chiefs,"Preservation of Vanuatu Customs, Culture and Language",Administration of the National Council of Chiefs,Operations,Original Budget,5363000
2004,Constitutional Agencies,Malvatumauri Council of Chiefs,"Preservation of Vanuatu Customs, Culture and Language",Administration of the National Council of Chiefs,Payroll,Actual,4923385
2004,Constitutional Agencies,Malvatumauri Council of Chiefs,"Preservation of Vanuatu Customs, Culture and Language",Administration of the National Council of Chiefs,Payroll,Budget,4900057
2004,Constitutional Agencies,Malvatumauri Council of Chiefs,"Preservation of Vanuatu Customs, Culture and Language",Administration of the National Council of Chiefs,Payroll,Original Budget,4900057
2004,Constitutional Agencies,Malvatumauri Council of Chiefs,"Preservation of Vanuatu Customs, Culture and Language",Funds for 14 Islands Council of Chiefs,Operations,Actual,1300000
2004,Constitutional Agencies,Malvatumauri Council of Chiefs,"Preservation of Vanuatu Customs, Culture and Language",Funds for 14 Islands Council of Chiefs,Operations,Budget,1400000
2004,Constitutional Agencies,Malvatumauri Council of Chiefs,"Preservation of Vanuatu Customs, Culture and Language",Funds for 14 Islands Council of Chiefs,Operations,Original Budget,1400000
2004,Constitutional Agencies,National Audit Office,Public Sector Auditing,"Planning, Policy & Standards",Operations,Actual,1423739
2004,Constitutional Agencies,National Audit Office,Public Sector Auditing,"Planning, Policy & Standards",Operations,Budget,4507144
2004,Constitutional Agencies,National Audit Office,Public Sector Auditing,"Planning, Policy & Standards",Operations,Original Budget,4507144
2004,Constitutional Agencies,National Audit Office,Public Sector Auditing,"Planning, Policy & Standards",Payroll,Actual,2947520
2004,Constitutional Agencies,National Audit Office,Public Sector Auditing,"Planning, Policy & Standards",Payroll,Budget,932291
2004,Constitutional Agencies,National Audit Office,Public Sector Auditing,"Planning, Policy & Standards",Payroll,Original Budget,932291
2004,Constitutional Agencies,National Audit Office,Public Sector Auditing,Audit Operations,Operations,Actual,196745
2004,Constitutional Agencies,National Audit Office,Public Sector Auditing,Audit Operations,Operations,Budget,11113432
2004,Constitutional Agencies,National Audit Office,Public Sector Auditing,Audit Operations,Operations,Original Budget,11113432
2004,Constitutional Agencies,National Audit Office,Public Sector Auditing,Audit Operations,Payroll,Actual,7820685
2004,Constitutional Agencies,National Audit Office,Public Sector Auditing,Audit Operations,Payroll,Budget,3013537
2004,Constitutional Agencies,National Audit Office,Public Sector Auditing,Audit Operations,Payroll,Original Budget,3013537
2004,Constitutional Agencies,National Audit Office,Public Sector Auditing,Corporate Services,Operations,Actual,4844831
2004,Constitutional Agencies,National Audit Office,Public Sector Auditing,Corporate Services,Operations,Budget,6844026
2004,Constitutional Agencies,National Audit Office,Public Sector Auditing,Corporate Services,Operations,Original Budget,6844026
2004,Constitutional Agencies,National Audit Office,Public Sector Auditing,Corporate Services,Payroll,Actual,1476949
2004,Constitutional Agencies,National Audit Office,Public Sector Auditing,Corporate Services,Payroll,Budget,705518
2004,Constitutional Agencies,National Audit Office,Public Sector Auditing,Corporate Services,Payroll,Original Budget,705518
2004,Constitutional Agencies,State Law Office,Legal Advice and Executive Management,Provision of Legal Advice and Services,Operations,Actual,4870170
2004,Constitutional Agencies,State Law Office,Legal Advice and Executive Management,Provision of Legal Advice and Services,Operations,Budget,4669474
2004,Constitutional Agencies,State Law Office,Legal Advice and Executive Management,Provision of Legal Advice and Services,Operations,Original Budget,4669474
2004,Constitutional Agencies,State Law Office,Legal Advice and Executive Management,Provision of Legal Advice and Services,Payroll,Actual,29752727
2004,Constitutional Agencies,State Law Office,Legal Advice and Executive Management,Provision of Legal Advice and Services,Payroll,Budget,29143340
2004,Constitutional Agencies,State Law Office,Legal Advice and Executive Management,Provision of Legal Advice and Services,Payroll,Original Budget,29143340
2004,Constitutional Agencies,Public Prosecutor,Operations,Planning and Management,Operations,Actual,1463478
2004,Constitutional Agencies,Public Prosecutor,Operations,Planning and Management,Operations,Budget,777778
2004,Constitutional Agencies,Public Prosecutor,Operations,Planning and Management,Operations,Original Budget,777778
2004,Constitutional Agencies,Public Prosecutor,Operations,Planning and Management,Payroll,Actual,5856415
2004,Constitutional Agencies,Public Prosecutor,Operations,Planning and Management,Payroll,Budget,7300116
2004,Constitutional Agencies,Public Prosecutor,Operations,Planning and Management,Payroll,Original Budget,7300116
2004,Constitutional Agencies,Public Prosecutor,Operations,Institute Criminal Proceedings,Operations,Actual,4608740
2004,Constitutional Agencies,Public Prosecutor,Operations,Institute Criminal Proceedings,Operations,Budget,4837457
2004,Constitutional Agencies,Public Prosecutor,Operations,Institute Criminal Proceedings,Operations,Original Budget,4837457
2004,Constitutional Agencies,Public Prosecutor,Operations,Institute Criminal Proceedings,Payroll,Actual,2341883
2004,Constitutional Agencies,Public Prosecutor,Operations,Institute Criminal Proceedings,Payroll,Budget,4133187
2004,Constitutional Agencies,Public Prosecutor,Operations,Institute Criminal Proceedings,Payroll,Original Budget,4133187
2004,Constitutional Agencies,Public Prosecutor,Operations,Corporate Services,Operations,Actual,1983347
2004,Constitutional Agencies,Public Prosecutor,Operations,Corporate Services,Operations,Budget,2588889
2004,Constitutional Agencies,Public Prosecutor,Operations,Corporate Services,Operations,Original Budget,2588889
