Year,Age,Sex,Urban,Province,Value
2020,,,,,"287,310"
2021,,,,,"298,512"
2022,,,,,"309,714"
2023,,,,,"320,916"
2024,,,,,"332,118"
2025,,,,,"343,320"
2026,,,,,"354,463"
2027,,,,,"365,607"
2028,,,,,"376,751"
2029,,,,,"387,895"
2030,,,,,"399,038"
2031,,,,,"409,920"
2032,,,,,"420,802"
2033,,,,,"431,683"
2034,,,,,"442,565"
2035,,,,,"453,447"
2036,,,,,"464,080"
2037,,,,,"474,714"
2038,,,,,"485,347"
2039,,,,,"495,981"
2040,,,,,"506,614"
2041,,,,,"516,759"
2042,,,,,"526,904"
2043,,,,,"537,050"
2044,,,,,"547,195"
2045,,,,,"557,340"
2046,,,,,"566,710"
2047,,,,,"576,079"
2048,,,,,"585,449"
2049,,,,,"594,819"
2050,,,,,"604,188"
2020,0,,,,"7,571"
2021,0,,,,"7,752"
2022,0,,,,"7,932"
2023,0,,,,"8,112"
2024,0,,,,"8,292"
2025,0,,,,"8,473"
2026,0,,,,"8,542"
2027,0,,,,"8,611"
2028,0,,,,"8,680"
2029,0,,,,"8,750"
2030,0,,,,"8,819"
2031,0,,,,"8,869"
2032,0,,,,"8,920"
2033,0,,,,"8,970"
2034,0,,,,"9,021"
2035,0,,,,"9,071"
2036,0,,,,"9,138"
2037,0,,,,"9,204"
2038,0,,,,"9,271"
2039,0,,,,"9,337"
2040,0,,,,"9,404"
2041,0,,,,"9,436"
2042,0,,,,"9,468"
2043,0,,,,"9,500"
2044,0,,,,"9,532"
2045,0,,,,"9,564"
2046,0,,,,"9,555"
2047,0,,,,"9,546"
2048,0,,,,"9,538"
2049,0,,,,"9,529"
2050,0,,,,"9,520"
2020,1-4,,,,"32,681"
2021,1-4,,,,"33,841"
2022,1-4,,,,"35,002"
2023,1-4,,,,"36,162"
2024,1-4,,,,"37,323"
2025,1-4,,,,"38,483"
2026,1-4,,,,"38,877"
2027,1-4,,,,"39,271"
2028,1-4,,,,"39,664"
2029,1-4,,,,"40,058"
2030,1-4,,,,"40,452"
2031,1-4,,,,"41,007"
2032,1-4,,,,"41,561"
2033,1-4,,,,"42,115"
2034,1-4,,,,"42,670"
2035,1-4,,,,"43,224"
2036,1-4,,,,"43,577"
2037,1-4,,,,"43,929"
2038,1-4,,,,"44,281"
2039,1-4,,,,"44,633"
2040,1-4,,,,"44,986"
2041,1-4,,,,"45,247"
2042,1-4,,,,"45,508"
2043,1-4,,,,"45,769"
2044,1-4,,,,"46,030"
2045,1-4,,,,"46,292"
2046,1-4,,,,"46,631"
2047,1-4,,,,"46,970"
2048,1-4,,,,"47,309"
2049,1-4,,,,"47,649"
2050,1-4,,,,"47,988"
2020,5-9,,,,"37,890"
2021,5-9,,,,"38,284"
2022,5-9,,,,"38,677"
2023,5-9,,,,"39,071"
2024,5-9,,,,"39,464"
2025,5-9,,,,"39,858"
2026,5-9,,,,"40,412"
2027,5-9,,,,"40,967"
2028,5-9,,,,"41,522"
2029,5-9,,,,"42,076"
2030,5-9,,,,"42,631"
2031,5-9,,,,"42,983"
2032,5-9,,,,"43,334"
2033,5-9,,,,"43,686"
2034,5-9,,,,"44,038"
2035,5-9,,,,"44,390"
2036,5-9,,,,"44,650"
2037,5-9,,,,"44,911"
2038,5-9,,,,"45,171"
2039,5-9,,,,"45,431"
2040,5-9,,,,"45,692"
2041,5-9,,,,"46,031"
2042,5-9,,,,"46,370"
