Year,Ministry,Department,Budget,Budget Type,Value
2004,Constitutional Agencies,State Law Office,,Original Budget,"1,568,190"
2004,Constitutional Agencies,State Law Office,,Original Budget,"1,000,000"
2004,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,,Original Budget,"2,749,500"
2004,Prime Ministers Ministry,Prime Ministers Cabinet,,Original Budget,"8,000,000"
2004,Ministry of Education & Training,Director General Directorate,,Original Budget,"209,908"
2004,Ministry of Education & Training,Director General Directorate,,Original Budget,"3,932,840"
2004,Ministry of Education & Training,Director General Directorate,,Original Budget,"14,259,056"
2004,Ministry of Education & Training,Director General Directorate,,Original Budget,"35,429,157"
2004,Ministry of Education & Training,Director General Directorate,,Original Budget,"3,804,680"
2004,Ministry of Education & Training,Director General Directorate,,Original Budget,"21,819,419"
2004,Ministry of Education & Training,Director General Directorate,,Original Budget,"3,779,655"
2004,Ministry of Education & Training,Director General Directorate,,Original Budget,"1,238,434"
2004,Ministry of Education & Training,Director General Directorate,,Original Budget,"937,360"
2004,Ministry of Education & Training,Director General Directorate,,Original Budget,"6,753,147"
2004,Ministry of Internal Affairs,Internal Affairs Cabinet,,Original Budget,"4,284,761"
2004,Ministry of Internal Affairs,Internal Affairs Cabinet,,Original Budget,"1,950,000"
2004,Ministry of Internal Affairs,Internal Affairs Cabinet,,Original Budget,"3,425,000"
2004,Ministry of Internal Affairs,Internal Affairs Cabinet,,Original Budget,"2,290,250"
2004,Ministry of Internal Affairs,Internal Affairs Cabinet,,Original Budget,"226,594"
2004,Ministry of Internal Affairs,Internal Affairs Cabinet,,Original Budget,"1,995,029"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,,Original Budget,"711,564"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,,Original Budget,"3,999,203"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,,Original Budget,"3,928,000"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,,Original Budget,"16,195,332"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,,Original Budget,"206,300"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,,Original Budget,"825,700"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,,Original Budget,"858,590"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,,Original Budget,"364,794"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,,Original Budget,"216,320"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,,Original Budget,"483,405"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,,Original Budget,"230,098"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,,Original Budget,"852,220"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,,Original Budget,"3,175,168"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,,Original Budget,"3,948,000"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,,Original Budget,"200,000"
2004,Ministry of Internal Affairs,Department of Provincial Affairs,,Original Budget,"2,652,275"
2004,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,,Original Budget,"-19,460"
2004,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,,Original Budget,"200,000"
2004,Ministry of Finance and Economic Management,Department of Finance & Treasury,,Original Budget,"15,485,459"
2004,Ministry of Finance and Economic Management,National Statistics Office,,Original Budget,"297,000"
