Year,Value,Series
2017,49,Loan to Deposit Ratio (%)
2018,42,Loan to Deposit Ratio (%)
2019,43,Loan to Deposit Ratio (%)
2020,43,Loan to Deposit Ratio (%)
2021,43,Loan to Deposit Ratio (%)
2022,50,Loan to Deposit Ratio (%)
2023,51,Loan to Deposit Ratio (%)
2020,97,Deposit to Liability Ratio (%)
2021,97,Deposit to Liability Ratio (%)
2022,92,Deposit to Liability Ratio (%)
2023,101,Deposit to Liability Ratio (%)
2017,94,Deposit to Asset Ratio (%)
2018,94,Deposit to Asset Ratio (%)
2019,92,Deposit to Asset Ratio (%)
2020,90,Deposit to Asset Ratio (%)
2021,89,Deposit to Asset Ratio (%)
2022,87,Deposit to Asset Ratio (%)
2023,86,Deposit to Asset Ratio (%)
