Year,Value,Units,Series
2006,34.0,Percent,Gross Fixed Capital Formation Growth
2007,21.7,Percent,Gross Fixed Capital Formation Growth
2008,35.9,Percent,Gross Fixed Capital Formation Growth
2009,-0.6,Percent,Gross Fixed Capital Formation Growth
2010,-4.6,Percent,Gross Fixed Capital Formation Growth
2011,-15.3,Percent,Gross Fixed Capital Formation Growth
2012,-17.0,Percent,Gross Fixed Capital Formation Growth
2013,17.0,Percent,Gross Fixed Capital Formation Growth
2014,9.8,Percent,Gross Fixed Capital Formation Growth
2015,41.0,Percent,Gross Fixed Capital Formation Growth
2016,-23.9,Percent,Gross Fixed Capital Formation Growth
2017,19.2,Percent,Gross Fixed Capital Formation Growth
