Year,Value,Series
2015,0.1,Proportion (%)
2016,0.4,Proportion (%)
2017,0.1,Proportion (%)
2018,0.2,Proportion (%)
2019,0.2,Proportion (%)
2020,1.2,Proportion (%)
2021,0.8,Proportion (%)
2022,1.4,Proportion (%)
2015,66.0,Remittances (million vatu)
2016,273.0,Remittances (million vatu)
2017,88.0,Remittances (million vatu)
2018,149.0,Remittances (million vatu)
2019,123.0,Remittances (million vatu)
2020,800.0,Remittances (million vatu)
2021,515.0,Remittances (million vatu)
2022,984.0,Remittances (million vatu)
2015,61500.0,GDP Constant (million vatu)
2016,63635.0,GDP Constant (million vatu)
2017,66443.0,GDP Constant (million vatu)
2018,68370.0,GDP Constant (million vatu)
2019,70586.0,GDP Constant (million vatu)
2020,67062.0,GDP Constant (million vatu)
2021,66021.0,GDP Constant (million vatu)
2022,69445.0,GDP Constant (million vatu)
