Year,Value,Units,Series
2006,113.5,Total,Food Price Level CPI (PROXY)
2007,117.5,Total,Food Price Level CPI (PROXY)
2008,130.1,Total,Food Price Level CPI (PROXY)
2009,135.2,Total,Food Price Level CPI (PROXY)
2010,142.2,Total,Food Price Level CPI (PROXY)
2011,143.2,Total,Food Price Level CPI (PROXY)
2012,145.5,Total,Food Price Level CPI (PROXY)
2013,148.4,Total,Food Price Level CPI (PROXY)
2014,150.5,Total,Food Price Level CPI (PROXY)
2015,151.6,Total,Food Price Level CPI (PROXY)
2016,162.7,Total,Food Price Level CPI (PROXY)
2017,173.1,Total,Food Price Level CPI (PROXY)
2018,178.5,Total,Food Price Level CPI (PROXY)
