Year,Value,Units,Series
2010,71,Percent,Kindergarten Attended Rate
2011,76,Percent,Kindergarten Attended Rate
2012,60,Percent,Kindergarten Attended Rate
2013,66,Percent,Kindergarten Attended Rate
2014,66,Percent,Kindergarten Attended Rate
2015,42,Percent,Kindergarten Attended Rate
2010,75,Percent,Educational Survival Yrs 1-6
2011,70,Percent,Educational Survival Yrs 1-6
2012,84,Percent,Educational Survival Yrs 1-6
2013,71,Percent,Educational Survival Yrs 1-6
2014,81,Percent,Educational Survival Yrs 1-6
2015,79,Percent,Educational Survival Yrs 1-6
2016,58,Percent,Educational Survival Yrs 1-6
2017,68,Percent,Educational Survival Yrs 1-6
2018,99,Percent,Educational Survival Yrs 1-6
2010,10,Percent,Educational Survival Yrs 1-13
2011,7,Percent,Educational Survival Yrs 1-13
2012,12,Percent,Educational Survival Yrs 1-13
2013,10,Percent,Educational Survival Yrs 1-13
2014,22,Percent,Educational Survival Yrs 1-13
2015,20,Percent,Educational Survival Yrs 1-13
2016,21,Percent,Educational Survival Yrs 1-13
2017,23,Percent,Educational Survival Yrs 1-13
2018,23,Percent,Educational Survival Yrs 1-13
