Year,Series,Value
2015,Debt Ratio to GDP (%),41
2016,Debt Ratio to GDP (%),51
2017,Debt Ratio to GDP (%),59
2018,Debt Ratio to GDP (%),63
2019,Debt Ratio to GDP (%),66
2020,Debt Ratio to GDP (%),72
2021,Debt Ratio to GDP (%),73
2022,Debt Ratio to GDP (%),71
2015,Debt (million vatu),25284
2016,Debt (million vatu),32288
2017,Debt (million vatu),39486
2018,Debt (million vatu),42762
2019,Debt (million vatu),46458
2020,Debt (million vatu),48274
2021,Debt (million vatu),47968
2022,Debt (million vatu),49445
2015,GDP Constant (million vatu),61500
2016,GDP Constant (million vatu),63635
2017,GDP Constant (million vatu),66443
2018,GDP Constant (million vatu),68370
2019,GDP Constant (million vatu),70586
2020,GDP Constant (million vatu),67062
2021,GDP Constant (million vatu),66021
2022,GDP Constant (million vatu),69445
