Year,Major Commodity,Value
2012,,3015
2013,,2805
2014,,4340
2015,,2686
2016,,4292
2017,,4656
2018,,3807
2019,,4001
2020,,3395
2021,,4496
2012,Beef,398
2012,Cocoa,178
2012,Coconut Oil,800
2012,Coffee,3
2012,Copra,923
2012,Kava,418
2012,Wood,295
2013,Beef,335
2013,Cocoa,327
2013,Coconut Oil,519
2013,Coffee,3
2013,Copra,469
2013,Kava,810
2013,Wood,342
2014,Beef,442
2014,Cocoa,415
2014,Coconut Oil,759
2014,Coffee,28
2014,Copra,1485
2014,Kava,728
2014,Wood,483
2015,Beef,344
2015,Cocoa,330
2015,Coconut Oil,790
2015,Coffee,11
2015,Copra,749
2015,Kava,69
2015,Wood,393
2016,Beef,297
2016,Cocoa,463
2016,Coconut Oil,584
2016,Coffee,13
2016,Copra,1696
2016,Kava,1060
2016,Wood,179
2017,Beef,178
2017,Cocoa,164
2017,Coconut Oil,814
2017,Coffee,1
2017,Copra,1811
2017,Kava,1277
2017,Wood,411
2018,Beef,65
2018,Cocoa,193
2018,Coconut Oil,402
2018,Coffee,33
2018,Copra,424
2018,Kava,2513
2018,Wood,177
2019,Beef,96
2019,Cocoa,270
2019,Coconut Oil,284
2019,Coffee,16
2019,Copra,265
2019,Kava,2970
2019,Wood,100
2020,Beef,85
2020,Cocoa,175
2020,Coconut Oil,166
2020,Coffee,23
2020,Copra,336
2020,Kava,2601
2020,Wood,9
2021,Beef,147
2021,Cocoa,356
2021,Coconut Oil,117
2021,Coffee,27
2021,Copra,845
2021,Kava,2459
2021,Wood,545
