Year,Units,Series,Value
2006,Percent,33111,4
2007,Percent,33111,4
2008,Percent,33111,4
2009,Percent,33111,5
2010,Percent,33111,5
2011,Percent,33111,5
2012,Percent,33111,5
2013,Percent,33111,5
2014,Percent,33111,5
2015,Percent,33111,5
2016,Percent,33111,5
2017,Percent,33111,5
2006,Percent,33113,6
2007,Percent,33113,6
2008,Percent,33113,6
2009,Percent,33113,6
2010,Percent,33113,6
2011,Percent,33113,6
2012,Percent,33113,8
2013,Percent,33113,6
2014,Percent,33113,5
2015,Percent,33113,5
2016,Percent,33113,5
2017,Percent,33113,5
2006,Percent,33114,8
2007,Percent,33114,7
2008,Percent,33114,8
2009,Percent,33114,10
2010,Percent,33114,11
2011,Percent,33114,9
2012,Percent,33114,7
2013,Percent,33114,7
2014,Percent,33114,7
2015,Percent,33114,10
2016,Percent,33114,10
2017,Percent,33114,10
2006,Percent,33115,21
2007,Percent,33115,21
2008,Percent,33115,20
2009,Percent,33115,19
2010,Percent,33115,20
2011,Percent,33115,21
2012,Percent,33115,21
2013,Percent,33115,22
2014,Percent,33115,22
2015,Percent,33115,19
2016,Percent,33115,19
2017,Percent,33115,18
