Year,Series,Island,Unit of measurement,Value
2014,Total number of visitors,,Total count,16111
2015,Total number of visitors,,Total count,20223
2016,Total number of visitors,,Total count,23554
2017,Total number of visitors,,Total count,27348
2018,Total number of visitors,,Total count,31107
2019,Total number of visitors,,Total count,30259
2020,Total number of visitors,,Total count,6234
2014,Total number of visitors,Tanna,Total count,6343
2015,Total number of visitors,Tanna,Total count,7295
2016,Total number of visitors,Tanna,Total count,7774
2017,Total number of visitors,Tanna,Total count,10301
2018,Total number of visitors,Tanna,Total count,11258
2019,Total number of visitors,Tanna,Total count,10848
2020,Total number of visitors,Tanna,Total count,2283
2014,Total number of visitors,Santo,Total count,4739
2015,Total number of visitors,Santo,Total count,5342
2016,Total number of visitors,Santo,Total count,6861
2017,Total number of visitors,Santo,Total count,8840
2018,Total number of visitors,Santo,Total count,10349
2019,Total number of visitors,Santo,Total count,10255
2020,Total number of visitors,Santo,Total count,2283
2014,Total number of visitors,Efate Offshore Islands,Total count,2144
2015,Total number of visitors,Efate Offshore Islands,Total count,3201
2016,Total number of visitors,Efate Offshore Islands,Total count,4328
2017,Total number of visitors,Efate Offshore Islands,Total count,3333
2018,Total number of visitors,Efate Offshore Islands,Total count,4419
2019,Total number of visitors,Efate Offshore Islands,Total count,4751
2020,Total number of visitors,Efate Offshore Islands,Total count,634
2014,Total number of visitors,Pentecost,Total count,379
2015,Total number of visitors,Pentecost,Total count,1093
2016,Total number of visitors,Pentecost,Total count,820
2017,Total number of visitors,Pentecost,Total count,550
2018,Total number of visitors,Pentecost,Total count,527
2019,Total number of visitors,Pentecost,Total count,660
2020,Total number of visitors,Pentecost,Total count,64
2014,Total number of visitors,Malekula,Total count,636
2015,Total number of visitors,Malekula,Total count,945
2016,Total number of visitors,Malekula,Total count,935
2017,Total number of visitors,Malekula,Total count,1071
2018,Total number of visitors,Malekula,Total count,1220
2019,Total number of visitors,Malekula,Total count,899
2020,Total number of visitors,Malekula,Total count,205
2014,Total number of visitors,Ambrym,Total count,521
2015,Total number of visitors,Ambrym,Total count,775
2016,Total number of visitors,Ambrym,Total count,863
2017,Total number of visitors,Ambrym,Total count,837
2018,Total number of visitors,Ambrym,Total count,874
2019,Total number of visitors,Ambrym,Total count,404
2020,Total number of visitors,Ambrym,Total count,47
2014,Total number of visitors,Other Islands,Total count,1349
2015,Total number of visitors,Other Islands,Total count,1572
2016,Total number of visitors,Other Islands,Total count,1973
2017,Total number of visitors,Other Islands,Total count,2416
2018,Total number of visitors,Other Islands,Total count,2460
2019,Total number of visitors,Other Islands,Total count,2442
2020,Total number of visitors,Other Islands,Total count,512
2014,Proportion of visitors,,Percentage (%),15
2015,Proportion of visitors,,Percentage (%),22
2016,Proportion of visitors,,Percentage (%),25
2017,Proportion of visitors,,Percentage (%),25
2018,Proportion of visitors,,Percentage (%),27
2019,Proportion of visitors,,Percentage (%),25
2020,Proportion of visitors,,Percentage (%),34
2014,Proportion of visitors,Tanna,Percentage (%),6
2015,Proportion of visitors,Tanna,Percentage (%),8
2016,Proportion of visitors,Tanna,Percentage (%),8
2017,Proportion of visitors,Tanna,Percentage (%),9
2018,Proportion of visitors,Tanna,Percentage (%),10
2019,Proportion of visitors,Tanna,Percentage (%),9
2020,Proportion of visitors,Tanna,Percentage (%),12
2014,Proportion of visitors,Santo,Percentage (%),4
2015,Proportion of visitors,Santo,Percentage (%),6
2016,Proportion of visitors,Santo,Percentage (%),7
2017,Proportion of visitors,Santo,Percentage (%),8
2018,Proportion of visitors,Santo,Percentage (%),9
2019,Proportion of visitors,Santo,Percentage (%),9
2020,Proportion of visitors,Santo,Percentage (%),12
2014,Proportion of visitors,Efate Offshore Islands,Percentage (%),2
2015,Proportion of visitors,Efate Offshore Islands,Percentage (%),4
2016,Proportion of visitors,Efate Offshore Islands,Percentage (%),5
2017,Proportion of visitors,Efate Offshore Islands,Percentage (%),3
2018,Proportion of visitors,Efate Offshore Islands,Percentage (%),4
2019,Proportion of visitors,Efate Offshore Islands,Percentage (%),4
2020,Proportion of visitors,Efate Offshore Islands,Percentage (%),3
2014,Proportion of visitors,Pentecost,Percentage (%),0
2015,Proportion of visitors,Pentecost,Percentage (%),1
2016,Proportion of visitors,Pentecost,Percentage (%),1
2017,Proportion of visitors,Pentecost,Percentage (%),1
2018,Proportion of visitors,Pentecost,Percentage (%),0
2019,Proportion of visitors,Pentecost,Percentage (%),1
2020,Proportion of visitors,Pentecost,Percentage (%),0
2014,Proportion of visitors,Malekula,Percentage (%),1
2015,Proportion of visitors,Malekula,Percentage (%),1
2016,Proportion of visitors,Malekula,Percentage (%),1
2017,Proportion of visitors,Malekula,Percentage (%),1
2018,Proportion of visitors,Malekula,Percentage (%),1
2019,Proportion of visitors,Malekula,Percentage (%),1
2020,Proportion of visitors,Malekula,Percentage (%),1
2014,Proportion of visitors,Ambrym,Percentage (%),0
2015,Proportion of visitors,Ambrym,Percentage (%),1
2016,Proportion of visitors,Ambrym,Percentage (%),1
2017,Proportion of visitors,Ambrym,Percentage (%),1
2018,Proportion of visitors,Ambrym,Percentage (%),1
2019,Proportion of visitors,Ambrym,Percentage (%),0
2020,Proportion of visitors,Ambrym,Percentage (%),0
2014,Proportion of visitors,Other Islands,Percentage (%),1
2015,Proportion of visitors,Other Islands,Percentage (%),2
2016,Proportion of visitors,Other Islands,Percentage (%),2
2017,Proportion of visitors,Other Islands,Percentage (%),2
2018,Proportion of visitors,Other Islands,Percentage (%),2
2019,Proportion of visitors,Other Islands,Percentage (%),2
2020,Proportion of visitors,Other Islands,Percentage (%),3
