Year,Sector,Industry,Value
2005,,,44819.0
2005,"Agriculture, Fishing and Forestry",,10054.0
2005,Industry,,3149.0
2005,Services,,28281.0
2005,Plus Taxes less Subsidies on Products,,5271.0
2005,Less imputed Bank Service Charge,,1986.0
2005,,Crop Production,7901.0
2005,,Animal Production,1011.0
2005,,Forestry,755.0
2005,,Fishing,387.0
2005,,Mining and Quarrying,
2005,,Manufacturing,1304.0
2005,,Electricity and Water Supply,893.0
2005,,Construction,952.0
2005,,"Wholesale, Retail Trade, repair of Motor vehicles",706.0
2005,,Other Wholesale Trade,1883.0
2005,,Retail Trade,3696.0
2005,,Transport,3022.0
2005,,Accommodation and Food Services,1916.0
2005,,Information and Communication,1710.0
2005,,Finance and Insurance,3936.0
2005,,Real Estate,3526.0
2005,,"Professional, Scientific, Technical, Admin/Services",1234.0
2005,,Government Services,5723.0
2005,,"Education, Health, Recreation, and Other Services",929.0
2006,,,48611.0
2006,"Agriculture, Fishing and Forestry",,10201.0
2006,Industry,,3935.0
2006,Services,,30846.0
2006,Plus Taxes less Subsidies on Products,,5742.0
2006,Less imputed Bank Service Charge,,2113.0
2006,,Crop Production,8180.0
2006,,Animal Production,1073.0
2006,,Forestry,548.0
2006,,Fishing,399.0
2006,,Mining and Quarrying,10.0
2006,,Manufacturing,1756.0
2006,,Electricity and Water Supply,917.0
2006,,Construction,1252.0
2006,,"Wholesale, Retail Trade, repair of Motor vehicles",735.0
2006,,Other Wholesale Trade,2056.0
2006,,Retail Trade,5095.0
2006,,Transport,3009.0
2006,,Accommodation and Food Services,1986.0
2006,,Information and Communication,1760.0
2006,,Finance and Insurance,4214.0
2006,,Real Estate,3611.0
2006,,"Professional, Scientific, Technical, Admin/Services",1306.0
2006,,Government Services,5776.0
2006,,"Education, Health, Recreation, and Other Services",1300.0
2007,,,50009.0
2007,"Agriculture, Fishing and Forestry",,10558.0
2007,Industry,,3537.0
2007,Services,,31090.0
2007,Plus Taxes less Subsidies on Products,,7070.0
2007,Less imputed Bank Service Charge,,2245.0
2007,,Crop Production,8432.0
2007,,Animal Production,1129.0
2007,,Forestry,584.0
2007,,Fishing,413.0
2007,,Mining and Quarrying,125.0
2007,,Manufacturing,1092.0
2007,,Electricity and Water Supply,978.0
2007,,Construction,1341.0
2007,,"Wholesale, Retail Trade, repair of Motor vehicles",734.0
2007,,Other Wholesale Trade,2016.0
2007,,Retail Trade,5303.0
2007,,Transport,2264.0
2007,,Accommodation and Food Services,2195.0
2007,,Information and Communication,2150.0
2007,,Finance and Insurance,4128.0
2007,,Real Estate,3700.0
