Year,Sector,Industry,Value
2016,,,3.6
2016,"Agriculture, Fishing and Forestry",,5.4
2016,Industry,,3.4
2016,Services,,3.1
2016,Plus Taxes less Subsidies on Products,,-4.5
2016,Less imputed Bank Service Charge,,13.9
2016,,Crop Production,5.9
2016,,Animal Production,2.6
2016,,Forestry,0.7
2016,,Fishing,3.9
2016,,Mining and Quarrying,68.1
2016,,Manufacturing,3.0
2016,,Electricity and Water Supply,11.9
2016,,Construction,2.0
2016,,"Wholesale, Retail Trade, repair of Motor vehicles",-8.4
2016,,Other Wholesale Trade,-21.3
2016,,Retail Trade,12.3
2016,,Transport,1.3
2016,,Accommodation and Food Services,3.7
2016,,Information and Communication,6.0
2016,,Finance and Insurance,0.2
2016,,Real Estate,3.6
2016,,"Professional, Scientifc, Technical, Admin/Services",18.2
2016,,Government Services,1.8
2016,,"Education, Health, Recreation, and Other Services",-7.4
2017,,,4.2
2017,"Agriculture, Fishing and Forestry",,0.3
2017,Industry,,6.4
2017,Services,,2.9
2017,Plus Taxes less Subsidies on Products,,22.3
2017,Less imputed Bank Service Charge,,8.4
2017,,Crop Production,0.4
2017,,Animal Production,-3.1
2017,,Forestry,1.5
2017,,Fishing,3.9
2017,,Mining and Quarrying,25.8
2017,,Manufacturing,2.0
2017,,Electricity and Water Supply,4.2
2017,,Construction,10.4
2017,,"Wholesale, Retail Trade, repair of Motor vehicles",2.6
2017,,Other Wholesale Trade,3.4
2017,,Retail Trade,3.4
2017,,Transport,1.8
2017,,Accommodation and Food Services,3.0
2017,,Information and Communication,13.5
2017,,Finance and Insurance,-2.8
2017,,Real Estate,1.7
2017,,"Professional, Scientifc, Technical, Admin/Services",2.6
2017,,Government Services,1.1
2017,,"Education, Health, Recreation, and Other Services",4.5
2018,,,2.5
2018,"Agriculture, Fishing and Forestry",,0.8
2018,Industry,,5.1
2018,Services,,0.3
2018,Plus Taxes less Subsidies on Products,,12.9
2018,Less imputed Bank Service Charge,,-9.1
2018,,Crop Production,0.7
2018,,Animal Production,1.9
2018,,Forestry,0.5
2018,,Fishing,4.0
2018,,Mining and Quarrying,10.0
2018,,Manufacturing,3.8
2018,,Electricity and Water Supply,0.7
2018,,Construction,6.8
2018,,"Wholesale, Retail Trade, repair of Motor vehicles",1.7
2018,,Other Wholesale Trade,1.3
2018,,Retail Trade,1.4
2018,,Transport,-10.9
2018,,Accommodation and Food Services,2.0
2018,,Information and Communication,2.5
2018,,Finance and Insurance,2.6
2018,,Real Estate,1.8
2018,,"Professional, Scientifc, Technical, Admin/Services",-1.0
2018,,Government Services,0.6
2018,,"Education, Health, Recreation, and Other Services",9.7
2019,,,3.3
2019,"Agriculture, Fishing and Forestry",,6.5
2019,Industry,,-8.1
2019,Services,,5.8
2019,Plus Taxes less Subsidies on Products,,1.5
2019,Less imputed Bank Service Charge,,29.5
2019,,Crop Production,7.0
2019,,Animal Production,5.7
2019,,Forestry,0.5
2019,,Fishing,4.1
2019,,Mining and Quarrying,7.2
2019,,Manufacturing,5.0
2019,,Electricity and Water Supply,15.4
2019,,Construction,-22.0
2019,,"Wholesale, Retail Trade, repair of Motor vehicles",10.0
2019,,Other Wholesale Trade,2.8
2019,,Retail Trade,6.2
2019,,Transport,3.2
2019,,Accommodation and Food Services,7.3
2019,,Information and Communication,9.6
2019,,Finance and Insurance,9.6
2019,,Real Estate,7.4
2019,,"Professional, Scientifc, Technical, Admin/Services",2.4
2019,,Government Services,3.3
2019,,"Education, Health, Recreation, and Other Services",3.2
2020,,,-5.7
2020,"Agriculture, Fishing and Forestry",,-2.9
2020,Industry,,0.3
2020,Services,,-7.8
2020,Plus Taxes less Subsidies on Products,,-5.6
2020,Less imputed Bank Service Charge,,-3.2
2020,,Crop Production,-3.5
2020,,Animal Production,-0.2
2020,,Forestry,0.1
2020,,Fishing,2.9
2020,,Mining and Quarrying,24.8
2020,,Manufacturing,-17.4
2020,,Electricity and Water Supply,6.2
2020,,Construction,14.6
2020,,"Wholesale, Retail Trade, repair of Motor vehicles",-1.4
2020,,Other Wholesale Trade,-7.9
2020,,Retail Trade,1.9
2020,,Transport,-53.5
2020,,Accommodation and Food Services,-56.4
2020,,Information and Communication,2.2
2020,,Finance and Insurance,-1.0
2020,,Real Estate,-9.2
2020,,"Professional, Scientifc, Technical, Admin/Services",43.6
2020,,Government Services,1.3
2020,,"Education, Health, Recreation, and Other Services",-11.5
2021,,,-1.2
2021,"Agriculture, Fishing and Forestry",,2.3
2021,Industry,,-0.4
2021,Services,,0.2
2021,Plus Taxes less Subsidies on Products,,-17.6
2021,Less imputed Bank Service Charge,,3.7
2021,,Crop Production,3.1
2021,,Animal Production,-8.8
2021,,Forestry,3.8
2021,,Fishing,11.2
2021,,Mining and Quarrying,39.2
2021,,Manufacturing,8.0
2021,,Electricity and Water Supply,0.2
2021,,Construction,-6.2
2021,,"Wholesale, Retail Trade, repair of Motor vehicles",-9.5
2021,,Other Wholesale Trade,-2.2
2021,,Retail Trade,5.2
2021,,Transport,-15.0
2021,,Accommodation and Food Services,-16.1
2021,,Information and Communication,0.8
2021,,Finance and Insurance,-2.9
2021,,Real Estate,2.9
2021,,"Professional, Scientifc, Technical, Admin/Services",4.8
2021,,Government Services,-0.4
2021,,"Education, Health, Recreation, and Other Services",9.4
2022,,,5.6
2022,"Agriculture, Fishing and Forestry",,4.0
2022,Industry,,-0.8
2022,Services,,5.8
2022,Plus Taxes less Subsidies on Products,,12.0
2022,Less imputed Bank Service Charge,,-4.7
2022,,Crop Production,4.2
2022,,Animal Production,2.1
2022,,Forestry,0.5
2022,,Fishing,7.7
2022,,Mining and Quarrying,2.7
2022,,Manufacturing,-3.1
2022,,Electricity and Water Supply,3.7
2022,,Construction,0.1
2022,,"Wholesale, Retail Trade, repair of Motor vehicles",14.8
2022,,Other Wholesale Trade,-32.3
2022,,Retail Trade,2.4
2022,,Transport,9.4
2022,,Accommodation and Food Services,92.0
2022,,Information and Communication,13.7
2022,,Finance and Insurance,18.3
2022,,Real Estate,13.0
2022,,"Professional, Scientifc, Technical, Admin/Services",-4.3
2022,,Government Services,1.7
2022,,"Education, Health, Recreation, and Other Services",13.6
2023,,,5.8
2023,"Agriculture, Fishing and Forestry",,2.3
2023,Industry,,14.9
2023,Services,,6.8
2023,Plus Taxes less Subsidies on Products,,2.2
2023,Less imputed Bank Service Charge,,5.3
2023,,Crop Production,2.1
2023,,Animal Production,4.3
2023,,Forestry,0.3
2023,,Fishing,7.7
2023,,Mining and Quarrying,319.6
2023,,Manufacturing,10.5
2023,,Electricity and Water Supply,-9.2
2023,,Construction,23.2
2023,,"Wholesale, Retail Trade, repair of Motor vehicles",2.7
2023,,Other Wholesale Trade,17.4
2023,,Retail Trade,0.8
2023,,Transport,38.6
2023,,Accommodation and Food Services,17.0
2023,,Information and Communication,16.4
2023,,Finance and Insurance,0.6
2023,,Real Estate,7.6
2023,,"Professional, Scientifc, Technical, Admin/Services",7.3
2023,,Government Services,2.2
2023,,"Education, Health, Recreation, and Other Services",-6.2
2024,,,3.8
2024,"Agriculture, Fishing and Forestry",,3.9
2024,Industry,,11.0
2024,Services,,2.6
2024,Plus Taxes less Subsidies on Products,,3.7
2024,Less imputed Bank Service Charge,,4.8
2024,,Crop Production,4.1
2024,,Animal Production,0.1
2024,,Forestry,0.3
2024,,Fishing,7.7
2024,,Mining and Quarrying,105.2
2024,,Manufacturing,0.2
2024,,Electricity and Water Supply,10.1
2024,,Construction,19.4
2024,,"Wholesale, Retail Trade, repair of Motor vehicles",18.4
2024,,Other Wholesale Trade,2.6
2024,,Retail Trade,3.4
2024,,Transport,-13.7
2024,,Accommodation and Food Services,-4.7
2024,,Information and Communication,5.2
2024,,Finance and Insurance,12.4
2024,,Real Estate,4.7
2024,,"Professional, Scientifc, Technical, Admin/Services",6.7
2024,,Government Services,1.2
2024,,"Education, Health, Recreation, and Other Services",-4.8
