Year,Series,Unit,Value
2016,Net Operating Balance (surplus),VT (millions of vatu),2267.3
2017,Net Operating Balance (surplus),VT (millions of vatu),4067.4
2018,Net Operating Balance (surplus),VT (millions of vatu),12958.4
2019,Net Operating Balance (surplus),VT (millions of vatu),10991.8
2020,Net Operating Balance (surplus),VT (millions of vatu),9749.4
2021,Net Operating Balance (surplus),VT (millions of vatu),2837.3
2022,Net Operating Balance (surplus),VT (millions of vatu),-3063.8
2023,Net Operating Balance (surplus),VT (millions of vatu),5573.2
2024,Net Operating Balance (surplus),VT (millions of vatu),3959.3
2025,Net Operating Balance (surplus),VT (millions of vatu),14603.1
2016,Net Operating Balance Excluding Donors (deficit),VT (millions of vatu),-2283.7
2017,Net Operating Balance Excluding Donors (deficit),VT (millions of vatu),-3696.1
2018,Net Operating Balance Excluding Donors (deficit),VT (millions of vatu),4589.5
2019,Net Operating Balance Excluding Donors (deficit),VT (millions of vatu),4439.5
2020,Net Operating Balance Excluding Donors (deficit),VT (millions of vatu),-136.2
2021,Net Operating Balance Excluding Donors (deficit),VT (millions of vatu),-6305.4
2022,Net Operating Balance Excluding Donors (deficit),VT (millions of vatu),-9195.7
2023,Net Operating Balance Excluding Donors (deficit),VT (millions of vatu),-3082.8
2024,Net Operating Balance Excluding Donors (deficit),VT (millions of vatu),-4786.4
2025,Net Operating Balance Excluding Donors (deficit),VT (millions of vatu),4803.2
