Year,Sub-Industry,Value
2010,,35
2011,,33
2012,,31
2013,,32
2014,,32
2015,,33
2016,,34
2017,,33
2018,,33
2019,,32
2020,,31
2010,Crop Production,15
2010,Animal Production,2
2010,Forestry,1
2010,Fishing,1
2010,Mining and Quarrying,0
2010,Manufacturing,4
2010,Electricity and Water Supply,2
2010,Construction,5
2010,Accomodation and Food Services,5
2011,Crop Production,15
2011,Animal Production,2
2011,Forestry,1
2011,Fishing,1
2011,Mining and Quarrying,0
2011,Manufacturing,4
2011,Electricity and Water Supply,2
2011,Construction,3
2011,Accomodation and Food Services,5
2012,Crop Production,15
2012,Animal Production,2
2012,Forestry,1
2012,Fishing,1
2012,Mining and Quarrying,0
2012,Manufacturing,3
2012,Electricity and Water Supply,2
2012,Construction,2
2012,Accomodation and Food Services,5
2013,Crop Production,15
2013,Animal Production,2
2013,Forestry,2
2013,Fishing,1
2013,Mining and Quarrying,0
2013,Manufacturing,3
2013,Electricity and Water Supply,2
2013,Construction,3
2013,Accomodation and Food Services,5
2014,Crop Production,16
2014,Animal Production,2
2014,Forestry,2
2014,Fishing,1
2014,Mining and Quarrying,0
2014,Manufacturing,3
2014,Electricity and Water Supply,2
2014,Construction,2
2014,Accomodation and Food Services,5
2015,Crop Production,15
2015,Animal Production,1
2015,Forestry,2
2015,Fishing,1
2015,Mining and Quarrying,0
2015,Manufacturing,3
2015,Electricity and Water Supply,2
2015,Construction,5
2015,Accomodation and Food Services,4
2016,Crop Production,15
2016,Animal Production,1
2016,Forestry,2
2016,Fishing,1
2016,Mining and Quarrying,0
2016,Manufacturing,2
2016,Electricity and Water Supply,2
2016,Construction,5
2016,Accomodation and Food Services,4
2017,Crop Production,14
2017,Animal Production,1
2017,Forestry,1
2017,Fishing,1
2017,Mining and Quarrying,0
2017,Manufacturing,2
2017,Electricity and Water Supply,2
2017,Construction,6
2017,Accomodation and Food Services,5
2018,Crop Production,14
2018,Animal Production,1
2018,Forestry,1
2018,Fishing,1
2018,Mining and Quarrying,0
2018,Manufacturing,3
2018,Electricity and Water Supply,2
2018,Construction,6
2018,Accomodation and Food Services,4
2019,Crop Production,15
2019,Animal Production,1
2019,Forestry,1
2019,Fishing,1
2019,Mining and Quarrying,0
2019,Manufacturing,3
2019,Electricity and Water Supply,2
2019,Construction,5
2019,Accomodation and Food Services,5
2020,Crop Production,15
2020,Animal Production,1
2020,Forestry,1
2020,Fishing,1
2020,Mining and Quarrying,0
2020,Manufacturing,2
2020,Electricity and Water Supply,3
2020,Construction,6
2020,Accomodation and Food Services,2
