Year,Units,Series,Value
2006,Total,33220,6056
2007,Total,33220,13166
2008,Total,33220,9176
2009,Total,33220,10154
2010,Total,33220,-3495
2011,Total,33220,-3220
2012,Total,33220,14201
2013,Total,33220,1948
2014,Total,33220,-1301
2015,Total,33220,-18856
2016,Total,33220,5165
2017,Total,33220,13991
2018,Total,33220,6526
2006,Total,33221,22368
2007,Total,33221,-185
2008,Total,33221,20401
2009,Total,33221,18680
2010,Total,33221,15650
2011,Total,33221,14470
2012,Total,33221,58305
2013,Total,33221,29403
2014,Total,33221,-22441
2015,Total,33221,-22734
2016,Total,33221,59011
2017,Total,33221,-27059
2018,Total,33221,11016
