Year,Exports,Unit,Value
2012,,Total value in millions of vatu,3698
2013,,Total value in millions of vatu,3811
2014,,Total value in millions of vatu,5692
2015,,Total value in millions of vatu,4249
2016,,Total value in millions of vatu,5292
2017,,Total value in millions of vatu,5916
2018,,Total value in millions of vatu,4841
2019,,Total value in millions of vatu,5222
2020,,Total value in millions of vatu,4650
2021,,Total value in millions of vatu,5646
2012,Alcohol drinks,Total value in millions of vatu,0
2013,Alcohol drinks,Total value in millions of vatu,0
2014,Alcohol drinks,Total value in millions of vatu,0
2015,Alcohol drinks,Total value in millions of vatu,1
2016,Alcohol drinks,Total value in millions of vatu,1
2017,Alcohol drinks,Total value in millions of vatu,42
2018,Alcohol drinks,Total value in millions of vatu,91
2019,Alcohol drinks,Total value in millions of vatu,157
2020,Alcohol drinks,Total value in millions of vatu,0
2021,Alcohol drinks,Total value in millions of vatu,0
2012,Beef,Total value in millions of vatu,398
2013,Beef,Total value in millions of vatu,335
2014,Beef,Total value in millions of vatu,442
2015,Beef,Total value in millions of vatu,344
2016,Beef,Total value in millions of vatu,297
2017,Beef,Total value in millions of vatu,178
2018,Beef,Total value in millions of vatu,65
2019,Beef,Total value in millions of vatu,96
2020,Beef,Total value in millions of vatu,85
2021,Beef,Total value in millions of vatu,147
2012,Cocoa,Total value in millions of vatu,178
2013,Cocoa,Total value in millions of vatu,327
2014,Cocoa,Total value in millions of vatu,415
2015,Cocoa,Total value in millions of vatu,330
2016,Cocoa,Total value in millions of vatu,463
2017,Cocoa,Total value in millions of vatu,164
2018,Cocoa,Total value in millions of vatu,193
2019,Cocoa,Total value in millions of vatu,270
2020,Cocoa,Total value in millions of vatu,175
2021,Cocoa,Total value in millions of vatu,356
2012,Coconut Meal,Total value in millions of vatu,15
2013,Coconut Meal,Total value in millions of vatu,0
2014,Coconut Meal,Total value in millions of vatu,0
2015,Coconut Meal,Total value in millions of vatu,0
2016,Coconut Meal,Total value in millions of vatu,0
2017,Coconut Meal,Total value in millions of vatu,65
2018,Coconut Meal,Total value in millions of vatu,40
2019,Coconut Meal,Total value in millions of vatu,51
2020,Coconut Meal,Total value in millions of vatu,28
2021,Coconut Meal,Total value in millions of vatu,8
2012,Coconut Oil,Total value in millions of vatu,800
2013,Coconut Oil,Total value in millions of vatu,519
2014,Coconut Oil,Total value in millions of vatu,759
2015,Coconut Oil,Total value in millions of vatu,790
2016,Coconut Oil,Total value in millions of vatu,584
2017,Coconut Oil,Total value in millions of vatu,814
2018,Coconut Oil,Total value in millions of vatu,402
2019,Coconut Oil,Total value in millions of vatu,284
2020,Coconut Oil,Total value in millions of vatu,166
2021,Coconut Oil,Total value in millions of vatu,117
2012,Coffee,Total value in millions of vatu,3
2013,Coffee,Total value in millions of vatu,3
2014,Coffee,Total value in millions of vatu,28
2015,Coffee,Total value in millions of vatu,11
2016,Coffee,Total value in millions of vatu,13
2017,Coffee,Total value in millions of vatu,1
2018,Coffee,Total value in millions of vatu,33
2019,Coffee,Total value in millions of vatu,16
2020,Coffee,Total value in millions of vatu,23
2021,Coffee,Total value in millions of vatu,27
2012,Copra,Total value in millions of vatu,923
2013,Copra,Total value in millions of vatu,469
2014,Copra,Total value in millions of vatu,1485
2015,Copra,Total value in millions of vatu,749
2016,Copra,Total value in millions of vatu,1696
2017,Copra,Total value in millions of vatu,1811
2018,Copra,Total value in millions of vatu,424
2019,Copra,Total value in millions of vatu,265
2020,Copra,Total value in millions of vatu,336
2021,Copra,Total value in millions of vatu,845
2012,Cowhides,Total value in millions of vatu,19
2013,Cowhides,Total value in millions of vatu,28
2014,Cowhides,Total value in millions of vatu,27
2015,Cowhides,Total value in millions of vatu,19
2016,Cowhides,Total value in millions of vatu,9
2017,Cowhides,Total value in millions of vatu,12
2018,Cowhides,Total value in millions of vatu,5
2019,Cowhides,Total value in millions of vatu,2
2020,Cowhides,Total value in millions of vatu,0
2021,Cowhides,Total value in millions of vatu,1
2012,Fish tuna,Total value in millions of vatu,129
2013,Fish tuna,Total value in millions of vatu,100
2014,Fish tuna,Total value in millions of vatu,10
2015,Fish tuna,Total value in millions of vatu,0
2016,Fish tuna,Total value in millions of vatu,0
2017,Fish tuna,Total value in millions of vatu,0
2018,Fish tuna,Total value in millions of vatu,0
2019,Fish tuna,Total value in millions of vatu,4
2020,Fish tuna,Total value in millions of vatu,191
2021,Fish tuna,Total value in millions of vatu,129
2012,Kava,Total value in millions of vatu,418
2013,Kava,Total value in millions of vatu,810
2014,Kava,Total value in millions of vatu,728
2015,Kava,Total value in millions of vatu,69
2016,Kava,Total value in millions of vatu,1060
2017,Kava,Total value in millions of vatu,1277
2018,Kava,Total value in millions of vatu,2513
2019,Kava,Total value in millions of vatu,2970
2020,Kava,Total value in millions of vatu,2601
2021,Kava,Total value in millions of vatu,2459
2012,Ornamental Fish,Total value in millions of vatu,96
2013,Ornamental Fish,Total value in millions of vatu,47
2014,Ornamental Fish,Total value in millions of vatu,137
2015,Ornamental Fish,Total value in millions of vatu,116
2016,Ornamental Fish,Total value in millions of vatu,49
2017,Ornamental Fish,Total value in millions of vatu,53
2018,Ornamental Fish,Total value in millions of vatu,0
2019,Ornamental Fish,Total value in millions of vatu,0
2020,Ornamental Fish,Total value in millions of vatu,0
2021,Ornamental Fish,Total value in millions of vatu,0
2012,Wood,Total value in millions of vatu,295
2013,Wood,Total value in millions of vatu,342
2014,Wood,Total value in millions of vatu,483
2015,Wood,Total value in millions of vatu,393
2016,Wood,Total value in millions of vatu,179
2017,Wood,Total value in millions of vatu,411
2018,Wood,Total value in millions of vatu,177
2019,Wood,Total value in millions of vatu,100
2020,Wood,Total value in millions of vatu,9
2021,Wood,Total value in millions of vatu,545
2012,Shell Buttons,Total value in millions of vatu,23
2013,Shell Buttons,Total value in millions of vatu,33
2014,Shell Buttons,Total value in millions of vatu,44
2015,Shell Buttons,Total value in millions of vatu,27
2016,Shell Buttons,Total value in millions of vatu,20
2017,Shell Buttons,Total value in millions of vatu,5
2018,Shell Buttons,Total value in millions of vatu,0
2019,Shell Buttons,Total value in millions of vatu,16
2020,Shell Buttons,Total value in millions of vatu,0
2021,Shell Buttons,Total value in millions of vatu,0
2012,Vanilla,Total value in millions of vatu,10
2013,Vanilla,Total value in millions of vatu,7
2014,Vanilla,Total value in millions of vatu,4
2015,Vanilla,Total value in millions of vatu,0
2016,Vanilla,Total value in millions of vatu,0
2017,Vanilla,Total value in millions of vatu,0
2018,Vanilla,Total value in millions of vatu,1
2019,Vanilla,Total value in millions of vatu,0
2020,Vanilla,Total value in millions of vatu,5
2021,Vanilla,Total value in millions of vatu,4
2012,Other Products,Total value in millions of vatu,391
2013,Other Products,Total value in millions of vatu,791
2014,Other Products,Total value in millions of vatu,1130
2015,Other Products,Total value in millions of vatu,1400
2016,Other Products,Total value in millions of vatu,921
2017,Other Products,Total value in millions of vatu,1083
2018,Other Products,Total value in millions of vatu,897
2019,Other Products,Total value in millions of vatu,993
2020,Other Products,Total value in millions of vatu,1030
2021,Other Products,Total value in millions of vatu,1008
