Year,Series,Value
2015,Proportion (%),0.1
2016,Proportion (%),0.4
2017,Proportion (%),0.1
2018,Proportion (%),0.2
2019,Proportion (%),0.2
2020,Proportion (%),1.2
2021,Proportion (%),0.8
2022,Proportion (%),1.4
2015,Remittances (million vatu),66.0
2016,Remittances (million vatu),273.0
2017,Remittances (million vatu),88.0
2018,Remittances (million vatu),149.0
2019,Remittances (million vatu),123.0
2020,Remittances (million vatu),800.0
2021,Remittances (million vatu),515.0
2022,Remittances (million vatu),984.0
2015,GDP Constant (million vatu),61500.0
2016,GDP Constant (million vatu),63635.0
2017,GDP Constant (million vatu),66443.0
2018,GDP Constant (million vatu),68370.0
2019,GDP Constant (million vatu),70586.0
2020,GDP Constant (million vatu),67062.0
2021,GDP Constant (million vatu),66021.0
2022,GDP Constant (million vatu),69445.0
