Year,Legal Status of Business,Province,Value
2022,,,4423
2022,Branch of a Foreign Entity,,1
2022,Co-operative,,63
2022,Non-profit Organisation Serving Household,,2
2022,Partnership,,52
2022,Private Limited Company,,143
2022,Sole Trader/un Incorporated,,4162
2022,Branch of a Foreign Entity,Torba,0
2022,Co-operative,Torba,10
2022,Non-profit Organisation Serving Household,Torba,0
2022,Partnership,Torba,2
2022,Private Limited Company,Torba,4
2022,Sole Trader/un Incorporated,Torba,330
2022,Branch of a Foreign Entity,Sanma,0
2022,Co-operative,Sanma,16
2022,Non-profit Organisation Serving Household,Sanma,0
2022,Partnership,Sanma,22
2022,Private Limited Company,Sanma,37
2022,Sole Trader/un Incorporated,Sanma,1178
2022,Branch of a Foreign Entity,Penama,0
2022,Co-operative,Penama,4
2022,Non-profit Organisation Serving Household,Penama,0
2022,Partnership,Penama,0
2022,Private Limited Company,Penama,5
2022,Sole Trader/un Incorporated,Penama,556
2022,Branch of a Foreign Entity,Malampa,0
2022,Co-operative,Malampa,15
2022,Non-profit Organisation Serving Household,Malampa,0
2022,Partnership,Malampa,2
2022,Private Limited Company,Malampa,3
2022,Sole Trader/un Incorporated,Malampa,783
2022,Branch of a Foreign Entity,Shefa,1
2022,Co-operative,Shefa,5
2022,Non-profit Organisation Serving Household,Shefa,2
2022,Partnership,Shefa,13
2022,Private Limited Company,Shefa,85
2022,Sole Trader/un Incorporated,Shefa,804
2022,Branch of a Foreign Entity,Tafea,0
2022,Co-operative,Tafea,13
2022,Non-profit Organisation Serving Household,Tafea,0
2022,Partnership,Tafea,13
2022,Private Limited Company,Tafea,9
2022,Sole Trader/un Incorporated,Tafea,511
