Year,Units,Series,Value
2010,Percent,12110,71
2011,Percent,12110,76
2012,Percent,12110,60
2013,Percent,12110,66
2014,Percent,12110,66
2015,Percent,12110,42
2010,Percent,12111,75
2011,Percent,12111,70
2012,Percent,12111,84
2013,Percent,12111,71
2014,Percent,12111,81
2015,Percent,12111,79
2016,Percent,12111,58
2017,Percent,12111,68
2018,Percent,12111,99
2010,Percent,12112,10
2011,Percent,12112,7
2012,Percent,12112,12
2013,Percent,12112,10
2014,Percent,12112,22
2015,Percent,12112,20
2016,Percent,12112,21
2017,Percent,12112,23
2018,Percent,12112,23
