Year,Series,Region,Media Outlets,Unit of measurement,Value
2020,houses,vanuatu,,total count,59654.0
2016,houses,vanuatu,,total count,103887.0
2020,houses,urban,,total count,26291.0
2020,houses,rural,,total count,33363.0
2020,houses,torba,,total count,1074.0
2020,houses,sanma,,total count,5653.0
2020,houses,penama,,total count,3399.0
2020,houses,malampa,,total count,11444.0
2020,houses,shefa,,total count,14129.0
2020,houses,tafea,,total count,3385.0
2020,houses,vanuatu,internet,total count,29064.0
2020,houses,urban,internet,total count,14580.0
2020,houses,rural,internet,total count,14484.0
2020,houses,torba,internet,total count,274.0
2020,houses,sanma,internet,total count,1899.0
2020,houses,penama,internet,total count,1495.0
2020,houses,malampa,internet,total count,2680.0
2020,houses,shefa,internet,total count,6675.0
2020,houses,tafea,internet,total count,1460.0
2020,houses,vanuatu,mobile phone,total count,15827.0
2020,houses,urban,mobile phone,total count,3482.0
2020,houses,rural,mobile phone,total count,12345.0
2020,houses,torba,mobile phone,total count,743.0
2020,houses,sanma,mobile phone,total count,2597.0
2020,houses,penama,mobile phone,total count,1721.0
2020,houses,malampa,mobile phone,total count,2590.0
2020,houses,shefa,mobile phone,total count,3191.0
2020,houses,tafea,mobile phone,total count,1503.0
2020,houses,vanuatu,tv,total count,8006.0
2020,houses,urban,tv,total count,5246.0
2020,houses,rural,tv,total count,2760.0
2020,houses,torba,tv,total count,2.0
2020,houses,sanma,tv,total count,128.0
2020,houses,penama,tv,total count,2.0
2020,houses,malampa,tv,total count,129.0
2020,houses,shefa,tv,total count,2324.0
2020,houses,tafea,tv,total count,175.0
2020,houses,vanuatu,radio,total count,5974.0
2020,houses,urban,radio,total count,2462.0
2020,houses,rural,radio,total count,3512.0
2020,houses,torba,radio,total count,44.0
2020,houses,sanma,radio,total count,990.0
2020,houses,penama,radio,total count,172.0
2020,houses,malampa,radio,total count,319.0
2020,houses,shefa,radio,total count,1757.0
2020,houses,tafea,radio,total count,230.0
2020,houses,vanuatu,newspaper,total count,783.0
2020,houses,urban,newspaper,total count,521.0
2020,houses,rural,newspaper,total count,262.0
2020,houses,torba,newspaper,total count,11.0
2020,houses,sanma,newspaper,total count,39.0
2020,houses,penama,newspaper,total count,10.0
2020,houses,malampa,newspaper,total count,4.0
