Year,Province,Constituency,Area Council,Sex,Age,GeoCode,Value
2016,,,,,,,272459
2016,Malampa,,,,,VU04,40928
2016,Penama,,,,,VU03,32534
2016,Sanma,,,,,VU02,54184
2016,Shefa,,,,,VU05,97602
2016,Tafea,,,,,VU06,37050
2016,Torba,,,,,VU01,10161
2016,,Ambae,,,,,11670
2016,,Ambrym,,,,,7652
2016,,Banks,,,,,9139
2016,,Efate,,,,,35675
2016,,Epi,,,,,6608
2016,,Luganville,,,,,16312
2016,,Maewo,,,,,3663
2016,,Malekula,,,,,31556
2016,,Malo,,,,,4365
2016,,Paama,,,,,1720
2016,,Pentecost,,,,,17201
2016,,Port Vila,,,,,51437
2016,,Santo Rural,,,,,33507
2016,,Shepherds,,,,,1207
2016,,Tafea Outer Islands,,,,,4623
2016,,Tanna,,,,,32427
2016,,Tongoa,,,,,2675
2016,,Torres,,,,,1022
2016,,,aneityum,,,VU06021,1433
2016,,,aniwa,,,VU06005,420
2016,,,canal - fanafo,,,VU02061,4916
2016,,,central malekula,,,VU04008,6266
2016,,,central pentecost 1,,,VU03060,2647
2016,,,central pentecost 2,,,VU03018,3862
2016,,,east ambae,,,VU03051,2246
2016,,,east malo,,,VU02042,2012
2016,,,east santo,,,VU02056,4685
2016,,,emau,,,VU05034,685
2016,,,erakor,,,VU05040,8918
2016,,,eratap,,,VU05003,6640
2016,,,eton,,,VU05037,3518
2016,,,futuna,,,VU06004,661
2016,,,gaua,,,VU01053,2576
2016,,,ifira,,,VU05039,1186
2016,,,luganville,,,VU02001,16312
2016,,,makimae,,,VU05033,1207
2016,,,malorua,,,VU05041,2916
2016,,,mele,,,VU05057,4738
2016,,,merelava,,,VU01065,588
2016,,,middle bush tanna,,,VU06062,6007
2016,,,mota,,,VU01064,682
2016,,,motalava,,,VU01063,1678
2016,,,nguna,,,VU05036,1728
2016,,,north ambae,,,VU03050,3923
2016,,,north ambrym,,,VU04011,3156
2016,,,north east malekula,,,VU04007,7162
2016,,,north efate,,,VU05035,2987
2016,,,north erromango,,,VU06019,1491
2016,,,north maewo,,,VU03014,2362
2016,,,north pentecost,,,VU03017,5923
2016,,,north santo,,,VU02047,4747
2016,,,north tanna,,,VU06026,4186
2016,,,north tongoa,,,VU05031,1688
2016,,,north west malekula,,,VU04006,5515
2016,,,north west santo,,,VU02044,1697
2016,,,paama,,,VU04013,1720
2016,,,pango,,,VU05038,2359
2016,,,port vila,,,VU05002,51437
