Year,Series,Ministry,Department,Unit,Value
2004,Original Budget,,,Millions in Vatu (VUV),8516
2005,Original Budget,,,Millions in Vatu (VUV),8978
2006,Original Budget,,,Millions in Vatu (VUV),9683
2007,Original Budget,,,Millions in Vatu (VUV),11732
2008,Original Budget,,,Millions in Vatu (VUV),13328
2009,Original Budget,,,Millions in Vatu (VUV),14095
2010,Original Budget,,,Millions in Vatu (VUV),15501
2011,Original Budget,,,Millions in Vatu (VUV),15112
2012,Original Budget,,,Millions in Vatu (VUV),16180
2013,Original Budget,,,Millions in Vatu (VUV),16285
2014,Original Budget,,,Millions in Vatu (VUV),16797
2015,Original Budget,,,Millions in Vatu (VUV),17774
2016,Original Budget,,,Millions in Vatu (VUV),19076
2017,Original Budget,,,Millions in Vatu (VUV),20242
2018,Original Budget,,,Millions in Vatu (VUV),24694
2019,Original Budget,,,Millions in Vatu (VUV),27340
2020,Original Budget,,,Millions in Vatu (VUV),36020
2021,Original Budget,,,Millions in Vatu (VUV),38148
2022,Original Budget,,,Millions in Vatu (VUV),39291
2023,Original Budget,,,Millions in Vatu (VUV),41830
2024,Original Budget,,,Millions in Vatu (VUV),57051
2004,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),589
2004,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),281
2004,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),42
2004,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,Millions in Vatu (VUV),19
2004,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),1922
2004,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),2617
2004,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),158
2004,Original Budget,Ministry of Health,,Millions in Vatu (VUV),942
2004,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),591
2004,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),928
2004,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),33
2004,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),206
2004,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),86
2004,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),19
2004,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),81
2005,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),729
2005,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),292
2005,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),65
2005,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,Millions in Vatu (VUV),24
2005,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),1993
2005,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),2641
2005,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),161
2005,Original Budget,Ministry of Health,,Millions in Vatu (VUV),982
2005,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),607
2005,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),1023
2005,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),43
2005,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),197
2005,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),99
2005,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),24
2005,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),96
2006,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),797
2006,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),387
2006,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),78
2006,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,Millions in Vatu (VUV),27
2006,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),2039
2006,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),2994
2006,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),224
2006,Original Budget,Ministry of Health,,Millions in Vatu (VUV),998
2006,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),608
2006,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),959
2006,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),112
2006,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),213
2006,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),103
2006,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),24
2006,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),121
2007,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),889
2007,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),407
2007,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),88
2007,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,Millions in Vatu (VUV),29
2007,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),3151
2007,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),2509
2007,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),238
2007,Original Budget,Ministry of Health,,Millions in Vatu (VUV),1415
2007,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),1348
2007,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),1013
2007,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),150
2007,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),201
2007,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),117
2007,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),26
2007,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),151
2008,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),1062
2008,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),332
2008,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),124
2008,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,Millions in Vatu (VUV),26
2008,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),3185
2008,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),3577
2008,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),358
2008,Original Budget,Ministry of Health,,Millions in Vatu (VUV),1472
2008,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),1265
2008,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),1232
2008,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),151
2008,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),215
2008,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),111
2008,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),75
2008,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),142
2009,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),1066
2009,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),381
2009,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),160
2009,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,Millions in Vatu (VUV),31
2009,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),3210
2009,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),3836
2009,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),296
2009,Original Budget,Ministry of Health,,Millions in Vatu (VUV),1450
2009,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),1247
2009,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),1319
2009,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),202
2009,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),291
2009,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),324
2009,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),104
2009,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),178
2010,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),1096
2010,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),452
2010,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),208
2010,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,Millions in Vatu (VUV),41
2010,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),3624
2010,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),4142
2010,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),361
2010,Original Budget,Ministry of Health,,Millions in Vatu (VUV),1736
2010,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),1268
2010,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),1380
2010,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),241
2010,Original Budget,"Ministry of Lands, Mines & Water Resources",,Millions in Vatu (VUV),286
2010,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,Millions in Vatu (VUV),326
2010,Original Budget,Ministry of Youth Development and Sports,,Millions in Vatu (VUV),151
2010,Original Budget,Prime Ministers Ministry,,Millions in Vatu (VUV),189
2011,Original Budget,Constitutional Agencies,,Millions in Vatu (VUV),1100
2011,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,Millions in Vatu (VUV),476
2011,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,Millions in Vatu (VUV),201
2011,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,Millions in Vatu (VUV),36
2011,Original Budget,Ministry of Education & Training,,Millions in Vatu (VUV),3764
2011,Original Budget,Ministry of Finance and Economic Management,,Millions in Vatu (VUV),3696
2011,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,Millions in Vatu (VUV),360
2011,Original Budget,Ministry of Health,,Millions in Vatu (VUV),1596
2011,Original Budget,Ministry of Infrastructure and Public Utilities,,Millions in Vatu (VUV),1288
2011,Original Budget,Ministry of Internal Affairs,,Millions in Vatu (VUV),1351
2011,Original Budget,Ministry of Justice and Social Welfare,,Millions in Vatu (VUV),303
