Year,Series,Region,Wall Material,Roof Material,Type of Lighting,Type of Cooking Fuel,Unnamed: 8,Value
2009,Number of private households main wall material,,,,,,,47373
2009,Number of private households main wall material,,Concrete,,,,,11803
2009,Number of private households main wall material,,Makeshift or improvised materials,,,,,1396
2009,Number of private households main wall material,,Metal,,,,,8944
2009,Number of private households main wall material,,Others,,,,,429
2009,Number of private households main wall material,,Traditional materials,,,,,20290
2009,Number of private households main wall material,,Wood,,,,,4511
2009,Number of private households main wall material,Port Vila,,,,,,9054
2009,Number of private households main wall material,Port Vila,Concrete,,,,,4430
2009,Number of private households main wall material,Port Vila,Makeshift or improvised materials,,,,,535
2009,Number of private households main wall material,Port Vila,Metal,,,,,3168
2009,Number of private households main wall material,Port Vila,Others,,,,,79
2009,Number of private households main wall material,Port Vila,Traditional materials,,,,,236
2009,Number of private households main wall material,Port Vila,Wood,,,,,606
2009,Number of private households main wall material,Luganville,,,,,,2552
2009,Number of private households main wall material,Luganville,Concrete,,,,,1056
2009,Number of private households main wall material,Luganville,Makeshift or improvised materials,,,,,45
2009,Number of private households main wall material,Luganville,Metal,,,,,414
2009,Number of private households main wall material,Luganville,Others,,,,,19
2009,Number of private households main wall material,Luganville,Traditional materials,,,,,64
2009,Number of private households main wall material,Luganville,Wood,,,,,954
2009,Number of private households main wall material,Torba,,,,,,1766
2009,Number of private households main wall material,Torba,Concrete,,,,,166
2009,Number of private households main wall material,Torba,Makeshift or improvised materials,,,,,30
2009,Number of private households main wall material,Torba,Metal,,,,,89
2009,Number of private households main wall material,Torba,Others,,,,,7
2009,Number of private households main wall material,Torba,Traditional materials,,,,,1408
2009,Number of private households main wall material,Torba,Wood,,,,,66
2009,Number of private households main wall material,Sanma,,,,,,6661
2009,Number of private households main wall material,Sanma,Concrete,,,,,1322
2009,Number of private households main wall material,Sanma,Makeshift or improvised materials,,,,,116
2009,Number of private households main wall material,Sanma,Metal,,,,,381
2009,Number of private households main wall material,Sanma,Others,,,,,33
2009,Number of private households main wall material,Sanma,Traditional materials,,,,,3796
2009,Number of private households main wall material,Sanma,Wood,,,,,1013
2009,Number of private households main wall material,Penama,,,,,,6620
2009,Number of private households main wall material,Penama,Concrete,,,,,916
