Year,Series,Arrivals,Purpose of Visit,Country,Value
2005.0,Vistors arrivals,,,,139424
2006.0,Vistors arrivals,,,,169027
2007.0,Vistors arrivals,,,,182841
2008.0,Vistors arrivals,,,,215927
2009.0,Vistors arrivals,,,,245175
2010.0,Vistors arrivals,,,,258701
2011.0,Vistors arrivals,,,,271171
2012.0,Vistors arrivals,,,,344362
2013.0,Vistors arrivals,,,,383016
2014.0,Vistors arrivals,,,,354897
2015.0,Vistors arrivals,,,,318787
2016.0,Vistors arrivals,,,,376759
2017.0,Vistors arrivals,,,,360969
2018.0,Vistors arrivals,,,,379137
2019.0,Vistors arrivals,,,,290886
2020.0,Vistors arrivals,,,,92775
2021.0,Vistors arrivals,,,,3495
2022.0,Vistors arrivals,,,,83475
2023.0,Vistors arrivals,,,,370050
2024.0,Vistors arrivals,,,,293800
2005.0,Vistors arrivals,Plane (residents),,,13788
2005.0,Vistors arrivals,Plane (visitors),,,62082
2005.0,Vistors arrivals,Cruise,,,63554
2006.0,Vistors arrivals,Plane (residents),,,14926
2006.0,Vistors arrivals,Plane (visitors),,,68179
2006.0,Vistors arrivals,Cruise,,,85922
2007.0,Vistors arrivals,Plane (residents),,,15759
2007.0,Vistors arrivals,Plane (visitors),,,81345
2007.0,Vistors arrivals,Cruise,,,85737
2008.0,Vistors arrivals,Plane (residents),,,19132
2008.0,Vistors arrivals,Plane (visitors),,,90657
2008.0,Vistors arrivals,Cruise,,,106138
2009.0,Vistors arrivals,Plane (residents),,,19682
2009.0,Vistors arrivals,Plane (visitors),,,100675
2009.0,Vistors arrivals,Cruise,,,124818
2010.0,Vistors arrivals,Plane (residents),,,21053
2010.0,Vistors arrivals,Plane (visitors),,,97180
2010.0,Vistors arrivals,Cruise,,,140468
2011.0,Vistors arrivals,Plane (residents),,,22273
2011.0,Vistors arrivals,Plane (visitors),,,93960
2011.0,Vistors arrivals,Cruise,,,154938
2012.0,Vistors arrivals,Plane (residents),,,22958
2012.0,Vistors arrivals,Plane (visitors),,,108161
2012.0,Vistors arrivals,Cruise,,,213243
2013.0,Vistors arrivals,Plane (residents),,,25611
2013.0,Vistors arrivals,Plane (visitors),,,110109
2013.0,Vistors arrivals,Cruise,,,247296
2014.0,Vistors arrivals,Plane (residents),,,25884
2014.0,Vistors arrivals,Plane (visitors),,,108808
2014.0,Vistors arrivals,Cruise,,,220205
2015.0,Vistors arrivals,Plane (residents),,,26962
2015.0,Vistors arrivals,Plane (visitors),,,89952
