Year,Ministry,Department,Budget,Budget Type,Value
2004,Constitutional Agencies,President of the Republic,Operations,Actual Spent     ,"8,110,656"
2004,Constitutional Agencies,President of the Republic,Operations,Original Budget     ,"6,231,282"
2004,Constitutional Agencies,President of the Republic,Payroll,Actual Spent     ,"13,187,533"
2004,Constitutional Agencies,President of the Republic,Payroll,Original Budget     ,"12,924,982"
2004,Constitutional Agencies,Parliament,Operations,Actual Spent     ,"141,631,108"
2004,Constitutional Agencies,Parliament,Operations,Original Budget     ,"134,263,109"
2004,Constitutional Agencies,Parliament,Payroll,Actual Spent     ,"63,947,635"
2004,Constitutional Agencies,Parliament,Payroll,Original Budget     ,"21,114,340"
2004,Constitutional Agencies,Parliament,Operations,Actual Spent     ,"255,935"
2004,Constitutional Agencies,Parliament,Operations,Original Budget     ,"313,770"
2004,Constitutional Agencies,Parliament,Payroll,Actual Spent     ,"1,011,347"
2004,Constitutional Agencies,Parliament,Payroll,Original Budget     ,"1,638,048"
2004,Constitutional Agencies,Parliament,Operations,Actual Spent     ,"13,837,845"
2004,Constitutional Agencies,Parliament,Operations,Original Budget     ,"13,474,111"
2004,Constitutional Agencies,Parliament,Operations,Actual Spent     ,"692,186"
2004,Constitutional Agencies,Parliament,Operations,Original Budget     ,"766,462"
2004,Constitutional Agencies,Parliament,Payroll,Actual Spent     ,"4,766,600"
2004,Constitutional Agencies,Parliament,Payroll,Original Budget     ,"7,504,281"
2004,Constitutional Agencies,Parliament,Operations,Actual Spent     ,"1,310,290"
2004,Constitutional Agencies,Parliament,Operations,Original Budget     ,"1,388,100"
2004,Constitutional Agencies,Parliament,Operations,Actual Spent     ,"1,251,799"
2004,Constitutional Agencies,Parliament,Operations,Original Budget     ,"1,388,100"
2004,Constitutional Agencies,Parliament,Operations,Actual Spent     ,"4,077,289"
2004,Constitutional Agencies,Parliament,Operations,Original Budget     ,"4,290,932"
2004,Constitutional Agencies,Parliament,Payroll,Actual Spent     ,"1,578,775"
2004,Constitutional Agencies,Parliament,Payroll,Original Budget     ,"2,303,269"
2004,Constitutional Agencies,Parliament,Operations,Actual Spent     ,"1,584,916"
2004,Constitutional Agencies,Parliament,Operations,Original Budget     ,"1,666,524"
2004,Constitutional Agencies,Parliament,Operations,Actual Spent     ,"437,059"
2004,Constitutional Agencies,Parliament,Operations,Original Budget     ,"466,000"
2004,Constitutional Agencies,Parliament,Payroll,Actual Spent     ,"2,250,751"
2004,Constitutional Agencies,Parliament,Payroll,Original Budget     ,"5,248,381"
2004,Constitutional Agencies,Parliament,Operations,Actual Spent     ,"762,305"
2004,Constitutional Agencies,Parliament,Operations,Original Budget     ,"868,400"
2004,Constitutional Agencies,Parliament,Payroll,Actual Spent     ,"22,831"
2004,Constitutional Agencies,Parliament,Payroll,Original Budget     ,"2,296,379"
2004,Constitutional Agencies,Parliament,Operations,Original Budget     ,"296,632"
2004,Constitutional Agencies,Parliament,Payroll,Actual Spent     ,"3,876,014"
2004,Constitutional Agencies,Parliament,Payroll,Original Budget     ,"2,609,959"
2004,Constitutional Agencies,Parliament,Operations,Actual Spent     ,"13,258,453"
2004,Constitutional Agencies,Parliament,Operations,Original Budget     ,"9,778,599"
2004,Constitutional Agencies,Parliament,Payroll,Actual Spent     ,"4,279,813"
2004,Constitutional Agencies,Parliament,Payroll,Original Budget     ,"4,674,997"
2004,Constitutional Agencies,Parliament,Operations,Actual Spent     ,"55,971,165"
2004,Constitutional Agencies,Parliament,Operations,Original Budget     ,"62,758,444"
2004,Constitutional Agencies,Office of the Ombudsman,Operations,Actual Spent     ,"10,630,074"
2004,Constitutional Agencies,Office of the Ombudsman,Operations,Original Budget     ,"8,928,545"
2004,Constitutional Agencies,Office of the Ombudsman,Payroll,Actual Spent     ,"26,255,606"
2004,Constitutional Agencies,Office of the Ombudsman,Payroll,Original Budget     ,"28,917,088"
