Year,Department,Programme,Activity,Value
2015,,,,5239522276
2016,,,,8368496531
2017,,,,8629364065
2018,,,,12703897982
2019,,,,11529979237
2020,,,,17182546645
2015,MFEM Cabinet,Cabinet Support,Portfolio Management,"4,685,121"
2015,National Statistics Office,Executive Management and Corporate Services,Ministry Executive & Internal Audit,"372,969"
2015,MFEM Corporate Services,Executive Management and Corporate Services,Ministry Executive & Internal Audit,"11,411,213"
2015,Department of Finance & Treasury,Executive Management and Corporate Services,Ministry Executive & Internal Audit,"2,082,247"
2015,National Statistics Office,Executive Management and Corporate Services,Corporate Services,"4,112,252"
2015,MFEM Corporate Services,Executive Management and Corporate Services,Corporate Services,"13,997,630"
2015,Department of Finance & Treasury,Executive Management and Corporate Services,Corporate Services,"88,358,248"
2015,Department of Customs and Inland Revenue,Executive Management and Corporate Services,Corporate Services,"30,845,013"
2015,Department of Finance & Treasury,Executive Management and Corporate Services,Information Services,"31,186,497"
2015,Department of Customs and Inland Revenue,Executive Management and Corporate Services,Information Services,"48,543,721"
2015,Department of Finance & Treasury,Financial And Economic Management,Economic Policy Development,"7,590,278"
2015,MFEM Corporate Services,Financial And Economic Management,Government Financial Services,"528,528"
2015,Department of Finance & Treasury,Financial And Economic Management,Government Financial Services,"95,214,994"
2015,National Statistics Office,National Statistics,"National Statistical Collection, Analysis & Reporting","60,000"
2015,National Statistics Office,National Statistics,Provincial Statistics Offices,"7,883,436"
2015,Department of Finance & Treasury,Payments on Behalf of Government,Public Debt Provisions,"2,207,202,810"
2015,Department of Finance & Treasury,Payments on Behalf of Government,Central Payments,"831,328,934"
2015,Department of Finance & Treasury,Payments on Behalf of Government,Former Leaders Payment,"5,255,181"
2015,Department of Customs and Inland Revenue,Revenue Collection,Customs and Excise Collections,"24,978,845"
2015,Department of Customs and Inland Revenue,Revenue Collection,VAT Collections,"32,206,057"
2015,Department of Customs and Inland Revenue,Revenue Collection,Rates and Taxes Collection,"16,731,285"
2015,Department of Customs and Inland Revenue,Border Control and Enforcement,Border Control,"11,316,165"
2015,Department of Finance & Treasury,Grants to Institutions,Vanuatu Tourism Office (VTO),"159,989,780"
2015,Department of Finance & Treasury,Grants to Institutions,Vanuatu Agricultural Research and Training Centre (VARTC),"39,692,438"
2015,Department of Finance & Treasury,Grants to Institutions,Vanuatu Broadcasting and Television Corporation (VBTC),"60,193,317"
2015,Department of Finance & Treasury,Grants to Institutions,Vanuatu Cultural Centre (VCC),"26,291,633"
2015,Department of Finance & Treasury,Grants to Institutions,Chamber of Commerce and Industry (CCI),"30,000,000"
2015,Department of Finance & Treasury,Grants to Institutions,Grant SPBEA,"103,774,952"
2015,Department of Finance & Treasury,Grants to Institutions,Vanuatu Maritime Administration (VMA),"14,646,570"
2015,Department of Finance & Treasury,Grants to Institutions,Vanuatu Maritime College,"41,255,243"
2015,Department of Finance & Treasury,Grants to Institutions,Utility Regulatory Authority,"102,226,099"
2015,Department of Finance & Treasury,Grants to Institutions,Vanuatu Agriculture College,"82,800,392"
2015,Department of Finance & Treasury,Grants to Institutions,Grant to VIPA,"62,668,264"
2015,Department of Finance & Treasury,Grants to Institutions,Grant to Vanuatu National Archives,"10,400,000"
