Year,Value,Units,Series
2006,4,Percent,33111
2007,4,Percent,33111
2008,4,Percent,33111
2009,5,Percent,33111
2010,5,Percent,33111
2011,5,Percent,33111
2012,5,Percent,33111
2013,5,Percent,33111
2014,5,Percent,33111
2015,5,Percent,33111
2016,5,Percent,33111
2017,5,Percent,33111
2006,6,Percent,33113
2007,6,Percent,33113
2008,6,Percent,33113
2009,6,Percent,33113
2010,6,Percent,33113
2011,6,Percent,33113
2012,8,Percent,33113
2013,6,Percent,33113
2014,5,Percent,33113
2015,5,Percent,33113
2016,5,Percent,33113
2017,5,Percent,33113
2006,8,Percent,33114
2007,7,Percent,33114
2008,8,Percent,33114
2009,10,Percent,33114
2010,11,Percent,33114
2011,9,Percent,33114
2012,7,Percent,33114
2013,7,Percent,33114
2014,7,Percent,33114
2015,10,Percent,33114
2016,10,Percent,33114
2017,10,Percent,33114
2006,21,Percent,33115
2007,21,Percent,33115
2008,20,Percent,33115
2009,19,Percent,33115
2010,20,Percent,33115
2011,21,Percent,33115
2012,21,Percent,33115
2013,22,Percent,33115
2014,22,Percent,33115
2015,19,Percent,33115
2016,19,Percent,33115
2017,18,Percent,33115
