Year,Value,Units,Series
2006,6056,Total,33220
2007,13166,Total,33220
2008,9176,Total,33220
2009,10154,Total,33220
2010,-3495,Total,33220
2011,-3220,Total,33220
2012,14201,Total,33220
2013,1948,Total,33220
2014,-1301,Total,33220
2015,-18856,Total,33220
2016,5165,Total,33220
2017,13991,Total,33220
2018,6526,Total,33220
2006,22368,Total,33221
2007,-185,Total,33221
2008,20401,Total,33221
2009,18680,Total,33221
2010,15650,Total,33221
2011,14470,Total,33221
2012,58305,Total,33221
2013,29403,Total,33221
2014,-22441,Total,33221
2015,-22734,Total,33221
2016,59011,Total,33221
2017,-27059,Total,33221
2018,11016,Total,33221
