Year,Value,Units,Series
2010,71,Percent,12110
2011,76,Percent,12110
2012,60,Percent,12110
2013,66,Percent,12110
2014,66,Percent,12110
2015,42,Percent,12110
2010,75,Percent,12111
2011,70,Percent,12111
2012,84,Percent,12111
2013,71,Percent,12111
2014,81,Percent,12111
2015,79,Percent,12111
2016,58,Percent,12111
2017,68,Percent,12111
2018,99,Percent,12111
2010,10,Percent,12112
2011,7,Percent,12112
2012,12,Percent,12112
2013,10,Percent,12112
2014,22,Percent,12112
2015,20,Percent,12112
2016,21,Percent,12112
2017,23,Percent,12112
2018,23,Percent,12112
